"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"1782","0","0","-2.85079","-20.7402","0.2","31.3603","0.638672","0.975586","-2.83919","-20.833","31.3769","-0.40625","-0.913574","-0.000123978","1","-0.907715","0.408447","0.0961914","0.98877","196725"
"[1]",,"1799","0","0","-2.9002","-20.9826","0.2","31.5031","0.649902","0.994629","-2.88619","-21.0751","31.5206","-0.390625","-0.92041","-0.0056572","1","-0.904785","0.384766","-0.183472","0.95459","131189"
"[2]",,"1785","0","0","-2.80407","-20.9928","0.2","31.4038","0.636719","0.994141","-2.79013","-21.0838","31.4212","-0.324707","-0.945801","-0.0150146","1","-0.953125","0.284912","0.103027","1","196725"
"[3]",,"1799","1","0","-2.9002","-20.9826","0.2","31.5031","0.649902","0.994629","-2.88619","-21.0751","31.5206","-0.390625","-0.92041","-0.0056572","1","-0.904785","0.384766","-0.183472","0.95459","131189"
"[4]",,"1782","1","0","-2.85079","-20.7402","0.2","31.3603","0.638672","0.975586","-2.83919","-20.833","31.3769","-0.40625","-0.913574","-0.000123978","1","-0.907715","0.408447","0.0961914","0.98877","196725"
"[5]",,"1809","1","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[6]",,"1809","2","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[7]",,"1801","2","0","-3.01661","-21.0064","0.2","31.567","0.663086","0.995117","-3.00229","-21.1013","31.5848","-0.47876","-0.875488","-0.0632935","1","-0.854004","0.484863","-0.188232","0.935547","131189"
"[8]",,"1799","2","0","-2.9002","-20.9826","0.2","31.5031","0.649902","0.994629","-2.88619","-21.0751","31.5206","-0.390625","-0.92041","-0.0056572","1","-0.904785","0.384766","-0.183472","0.95459","131189"
"[9]",,"1718","3","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[10]",,"1801","3","0","-3.01661","-21.0064","0.2","31.567","0.663086","0.995117","-3.00229","-21.1013","31.5848","-0.47876","-0.875488","-0.0632935","1","-0.854004","0.484863","-0.188232","0.935547","131189"
"[11]",,"1809","3","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[12]",,"1801","4","0","-3.01661","-21.0064","0.2","31.567","0.663086","0.995117","-3.00229","-21.1013","31.5848","-0.47876","-0.875488","-0.0632935","1","-0.854004","0.484863","-0.188232","0.935547","131189"
"[13]",,"1718","4","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[14]",,"1788","4","0","-3.10057","-21.0065","0.2","31.6237","0.672363","0.995117","-3.08614","-21.1029","31.6417","-0.540039","-0.830566","-0.135864","1","-0.679199","0.525391","-0.512695","0.747559","131189"
"[15]",,"1742","5","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[16]",,"1788","5","0","-3.10057","-21.0065","0.2","31.6237","0.672363","0.995117","-3.08614","-21.1029","31.6417","-0.540039","-0.830566","-0.135864","1","-0.679199","0.525391","-0.512695","0.747559","131189"
"[17]",,"1718","5","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[18]",,"1788","6","0","-3.10057","-21.0065","0.2","31.6237","0.672363","0.995117","-3.08614","-21.1029","31.6417","-0.540039","-0.830566","-0.135864","1","-0.679199","0.525391","-0.512695","0.747559","131189"
"[19]",,"1742","6","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[20]",,"1755","6","0","-3.17593","-21.0546","0.2","31.6109","0.680176","0.995117","-3.1611","-21.1531","31.6292","-0.428711","-0.883301","-0.189209","1","-0.0324097","0.22522","-0.974121","-0.00396347","131189"
"[21]",,"1742","7","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[22]",,"2670","7","0","-3.25033","-21.1725","0.2","31.445","0.698242","0.992188","-3.23459","-21.2747","31.464","-0.365723","-0.923828","-0.111816","1","0.466064","-0.0872192","-0.880371","-0.560059","131189"
"[23]",,"1755","7","0","-3.17593","-21.0546","0.2","31.6109","0.680176","0.995117","-3.1611","-21.1531","31.6292","-0.428711","-0.883301","-0.189209","1","-0.0324097","0.22522","-0.974121","-0.00396347","131189"
"[24]",,"1786","8","0","-2.89997","-20.4895","0.2","31.3139","0.63916","0.958496","-2.89062","-20.5842","31.3297","-0.31665","-0.946777","0.0556946","1","-0.94043","0.323975","0.105225","0.996582","196725"
"[25]",,"1809","8","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[26]",,"1782","8","0","-2.85079","-20.7402","0.2","31.3603","0.638672","0.975586","-2.83919","-20.833","31.3769","-0.40625","-0.913574","-0.000123978","1","-0.907715","0.408447","0.0961914","0.98877","196725"
"[27]",,"1809","9","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[28]",,"1786","9","0","-2.89997","-20.4895","0.2","31.3139","0.63916","0.958496","-2.89062","-20.5842","31.3297","-0.31665","-0.946777","0.0556946","1","-0.94043","0.323975","0.105225","0.996582","196725"
"[29]",,"1806","9","0","-3.03865","-20.4877","0.2","31.3818","0.653809","0.956055","-3.02925","-20.5852","31.3979","-0.321045","-0.945312","0.0546265","1","-0.918945","0.280762","-0.277832","0.925781","131189"
"[30]",,"1962","10","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[31]",,"1809","10","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[32]",,"1806","10","0","-3.03865","-20.4877","0.2","31.3818","0.653809","0.956055","-3.02925","-20.5852","31.3979","-0.321045","-0.945312","0.0546265","1","-0.918945","0.280762","-0.277832","0.925781","131189"
"[33]",,"1809","11","0","-2.99616","-20.7578","0.2","31.4422","0.654785","0.974609","-2.98429","-20.8535","31.4591","-0.42627","-0.904297","-0.017395","1","-0.873535","0.414307","-0.255371","0.922363","131189"
"[34]",,"1962","11","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[35]",,"1718","11","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[36]",,"1895","12","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[37]",,"1718","12","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[38]",,"1962","12","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[39]",,"1718","13","0","-3.12381","-20.765","0.2","31.5344","0.670898","0.975098","-3.11177","-20.863","31.5516","-0.44751","-0.89209","-0.0597534","1","-0.786621","0.423828","-0.44873","0.821289","131189"
"[40]",,"1895","13","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[41]",,"1742","13","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[42]",,"1895","14","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[43]",,"2665","14","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[44]",,"1742","14","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[45]",,"2670","15","0","-3.25033","-21.1725","0.2","31.445","0.698242","0.992188","-3.23459","-21.2747","31.464","-0.365723","-0.923828","-0.111816","1","0.466064","-0.0872192","-0.880371","-0.560059","131189"
"[46]",,"1742","15","0","-3.21848","-20.8253","0.2","31.5459","0.681152","0.976074","-3.20586","-20.9257","31.5634","-0.419678","-0.902832","-0.0942993","1","-0.163818","0.170288","-0.97168","0.101318","131189"
"[47]",,"2665","15","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[48]",,"2665","16","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[49]",,"2664","16","0","-3.287","-21.3151","0.2","31.2472","0.718262","0.991699","-3.27018","-21.4202","31.2668","-0.378418","-0.925781","0.000558376","1","0.59082","-0.224487","-0.775391","-0.70752","131189"
"[50]",,"2670","16","0","-3.25033","-21.1725","0.2","31.445","0.698242","0.992188","-3.23459","-21.2747","31.464","-0.365723","-0.923828","-0.111816","1","0.466064","-0.0872192","-0.880371","-0.560059","131189"
"[51]",,"1790","17","0","-2.93947","-20.1933","0.2","31.271","0.637695","0.938477","-2.93275","-20.2896","31.2858","-0.222046","-0.96875","0.108887","1","-0.963379","0.246094","0.110413","0.998535","196725"
"[52]",,"1806","17","0","-3.03865","-20.4877","0.2","31.3818","0.653809","0.956055","-3.02925","-20.5852","31.3979","-0.321045","-0.945312","0.0546265","1","-0.918945","0.280762","-0.277832","0.925781","131189"
"[53]",,"1786","17","0","-2.89997","-20.4895","0.2","31.3139","0.63916","0.958496","-2.89062","-20.5842","31.3297","-0.31665","-0.946777","0.0556946","1","-0.94043","0.323975","0.105225","0.996582","196725"
"[54]",,"1806","18","0","-3.03865","-20.4877","0.2","31.3818","0.653809","0.956055","-3.02925","-20.5852","31.3979","-0.321045","-0.945312","0.0546265","1","-0.918945","0.280762","-0.277832","0.925781","131189"
"[55]",,"1790","18","0","-2.93947","-20.1933","0.2","31.271","0.637695","0.938477","-2.93275","-20.2896","31.2858","-0.222046","-0.96875","0.108887","1","-0.963379","0.246094","0.110413","0.998535","196725"
"[56]",,"1791","18","0","-3.07652","-20.1995","0.2","31.3394","0.652344","0.937012","-3.06968","-20.2985","31.3544","-0.297852","-0.952637","0.0637817","1","-0.899414","0.257324","-0.35376","0.88916","131189"
"[57]",,"1791","19","0","-3.07652","-20.1995","0.2","31.3394","0.652344","0.937012","-3.06968","-20.2985","31.3544","-0.297852","-0.952637","0.0637817","1","-0.899414","0.257324","-0.35376","0.88916","131189"
"[58]",,"1962","19","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[59]",,"1806","19","0","-3.03865","-20.4877","0.2","31.3818","0.653809","0.956055","-3.02925","-20.5852","31.3979","-0.321045","-0.945312","0.0546265","1","-0.918945","0.280762","-0.277832","0.925781","131189"
"[60]",,"1962","20","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[61]",,"1791","20","0","-3.07652","-20.1995","0.2","31.3394","0.652344","0.937012","-3.06968","-20.2985","31.3544","-0.297852","-0.952637","0.0637817","1","-0.899414","0.257324","-0.35376","0.88916","131189"
"[62]",,"1804","20","0","-3.23601","-20.2185","0.2","31.4033","0.669922","0.935059","-3.22894","-20.3209","31.4186","-0.394287","-0.917969","0.041626","1","-0.750977","0.295654","-0.589844","0.727051","131189"
"[63]",,"1804","21","0","-3.23601","-20.2185","0.2","31.4033","0.669922","0.935059","-3.22894","-20.3209","31.4186","-0.394287","-0.917969","0.041626","1","-0.750977","0.295654","-0.589844","0.727051","131189"
"[64]",,"1895","21","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[65]",,"1962","21","0","-3.17834","-20.4933","0.2","31.4734","0.670898","0.955078","-3.16879","-20.5935","31.4896","-0.389404","-0.920898","0.0240479","1","-0.753418","0.300781","-0.584473","0.73877","131189"
"[66]",,"1895","22","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[67]",,"1804","22","0","-3.23601","-20.2185","0.2","31.4033","0.669922","0.935059","-3.22894","-20.3209","31.4186","-0.394287","-0.917969","0.041626","1","-0.750977","0.295654","-0.589844","0.727051","131189"
"[68]",,"1808","22","0","-3.35439","-20.2627","0.2","31.4102","0.682129","0.933594","-3.34692","-20.3681","31.4258","-0.367676","-0.920898","0.130859","1","-0.318604","-0.0238342","-0.947266","0.202148","131189"
"[69]",,"1808","23","0","-3.35439","-20.2627","0.2","31.4102","0.682129","0.933594","-3.34692","-20.3681","31.4258","-0.367676","-0.920898","0.130859","1","-0.318604","-0.0238342","-0.947266","0.202148","131189"
"[70]",,"1787","23","0","-3.3674","-20.6499","0.2","31.3219","0.699219","0.952148","-3.35665","-20.7568","31.339","-0.432129","-0.893066","0.125122","1","0.311523","-0.2771","-0.908691","-0.465576","131189"
"[71]",,"1895","23","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[72]",,"2665","24","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[73]",,"1895","24","0","-3.28386","-20.562","0.2","31.4584","0.682617","0.95459","-3.27374","-20.6652","31.475","-0.401855","-0.913574","0.0620117","1","-0.185791","0.00178623","-0.98291","0.0752563","131189"
"[74]",,"1787","24","0","-3.3674","-20.6499","0.2","31.3219","0.699219","0.952148","-3.35665","-20.7568","31.339","-0.432129","-0.893066","0.125122","1","0.311523","-0.2771","-0.908691","-0.465576","131189"
"[75]",,"1787","25","0","-3.3674","-20.6499","0.2","31.3219","0.699219","0.952148","-3.35665","-20.7568","31.339","-0.432129","-0.893066","0.125122","1","0.311523","-0.2771","-0.908691","-0.465576","131189"
"[76]",,"2663","25","0","-3.33366","-21.0616","0.2","31.2003","0.71875","0.972168","-3.31936","-21.1688","31.2189","-0.424316","-0.902832","0.067688","1","0.54541","-0.318848","-0.774902","-0.69043","131189"
"[77]",,"2665","25","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[78]",,"2664","26","0","-3.287","-21.3151","0.2","31.2472","0.718262","0.991699","-3.27018","-21.4202","31.2668","-0.378418","-0.925781","0.000558376","1","0.59082","-0.224487","-0.775391","-0.70752","131189"
"[79]",,"2665","26","0","-3.28454","-20.9291","0.2","31.3834","0.69873","0.973145","-3.27123","-21.033","31.4014","-0.41748","-0.908203","0.0333862","1","0.36792","-0.209839","-0.905762","-0.504395","131189"
"[80]",,"2663","26","0","-3.33366","-21.0616","0.2","31.2003","0.71875","0.972168","-3.31936","-21.1688","31.2189","-0.424316","-0.902832","0.067688","1","0.54541","-0.318848","-0.774902","-0.69043","131189"
"[81]",,"2215","27","0","-3.32455","-21.1517","0.2","30.9873","0.739258","0.970703","-3.30973","-21.2609","31.0063","-0.385498","-0.920898","0.0574341","1","0.914551","-0.391846","-0.098938","-0.992676","196725"
