Name	Type	Location	Value
 %1691	float	%1691	3.41386080 (1079671986)
 %1692	float	%1692	2.61815834 (1076334568)
 %1693	float	%1693	0.0352783203 (1024491520)
 %1694	float	%1694	0.472025126 (1056025927)
 %1695	float	%1695	-1.70232117 (3218728361)
 %1696	float	%1696	-0.655826211 (3207062586)
 %1697	float	%1697	0.00000000 (0)
 %1698	float	%1698	1.64119685 (1070731965)
 %1699	float	%1699	0.534364104 (1057541142)
 %1700	float	%1700	-0.318229973 (3198349066)
 %1701	float	%1701	0.00000000 (0)
 %1702	float	%1702	0.560959697 (1057987342)
 %1703	float	%1703	-0.688666463 (3207613554)
 %1704	float	%1704	1.61019146 (1070471873)
 %1705	float	%1705	-0.454943210 (3202936401)
 %1706	float	%1706	2.62152433 (1076348686)
 %1707	float	%1707	2.66156244 (1076516618)
 %1708	float	%1708	0.988159180 (1065154560)
 %1709	integer	%1709	4 (4)
 %1710	integer	%1710	1 (1)
 %1712	integer	%1712	3 (3)
 %1714	integer	%1714	77 (77)
 %1716	float	%1716	0.0352783203 (1024491520)
 %1718	float	%1718	0.00000000 (0)
 %1719	integer	%1719	0 (0)
 %1720	float	%1720	0.996002197 (1065286144)
 %1721	integer	%1721	1 (1)
 %1722	float	%1722	0.468616128 (1055911540)
 %1723	float	%1723	1.65090334 (1070813389)
 %1724	float	%1724	0.572800875 (1058186004)
 %1725	float	%1725	-0.425859302 (3201960507)
 %1726	float	%1726	-1.71709275 (3218852274)
 %1727	float	%1727	0.535471201 (1057559716)
 %1728	float	%1728	-0.693826675 (3207700128)
 %1729	float	%1729	2.65502024 (1076489178)
 %1730	float	%1730	-0.659855068 (3207130179)
 %1731	float	%1731	-0.330502272 (3198760856)
 %1732	float	%1732	1.61909151 (1070546532)
 %1733	float	%1733	2.69717336 (1076665981)
 %1734	float	%1734	0.00000000 (0)
 %1735	float	%1735	0.00000000 (0)
 %1736	integer	%1736	0 (0)
 %1737	integer	%1737	11266 (11266)
 %1740	integer	%1740	103 (103)
 %1741	integer	%1741	2129 (2129)
 %1744	integer	%1744	103 (103)
 %1745	integer	%1745	2819 (2819)
 %1748	float	%1748	0.782337964 (1061701453)
 %1749	float	%1749	-1.27053916 (3215106311)
 %1750	float	%1750	-1.00681722 (3212894051)
 %1751	float	%1751	0.00000000 (0)
 %1753	float	%1753	0.638071895 (1059281070)
 %1754	float	%1754	1.26903355 (1067610033)
 %1755	float	%1755	-1.10563052 (3213722957)
 %1756	float	%1756	0.00000000 (0)
 %1758	float	%1758	1.49023867 (1069465636)
 %1759	float	%1759	0.123641387 (1040005042)
 %1760	float	%1760	1.00194943 (1065369569)
 %1762	float	%1762	1.32847571 (1068108670)
 %1763	float	%1763	0.737850904 (1060955084)
 %1764	float	%1764	1.75122261 (1071654928)
 %1765	float	%1765	0.00000000 (0)
 %1766	float	%1766	0.468616128 (1055911540)
 %1767	float	%1767	-1.71709275 (3218852274)
 %1768	float	%1768	-0.659855068 (3207130179)
 %1769	float	%1769	0.00000000 (0)
 %1770	float	%1770	1.65090334 (1070813389)
 %1771	float	%1771	0.535471201 (1057559716)
 %1772	float	%1772	-0.330502272 (3198760856)
 %1773	float	%1773	0.00000000 (0)
 %1774	float	%1774	0.572800875 (1058186004)
 %1775	float	%1775	-0.693826675 (3207700128)
 %1776	float	%1776	1.61909151 (1070546532)
 %1777	float	%1777	-0.425859302 (3201960507)
 %1778	float	%1778	2.65502024 (1076489178)
 %1779	float	%1779	2.69717336 (1076665981)
 %1780	float	%1780	0.996002197 (1065286144)
 %1781	integer	%1781	2 (2)
 %1782	integer	%1782	1 (1)
 %1784	integer	%1784	1 (1)
 %1786	integer	%1786	0 (0)
 %1788	float	%1788	0.00000000 (0)
 %1791	float	%1791	0.996002197 (1065286144)
 %1792	float	%1792	0.468616128 (1055911540)
 %1793	float	%1793	1.65090334 (1070813389)
 %1794	float	%1794	0.572800875 (1058186004)
 %1795	float	%1795	-0.425859302 (3201960507)
 %1796	float	%1796	-1.71709275 (3218852274)
 %1797	float	%1797	0.535471201 (1057559716)
 %1798	float	%1798	-0.693826675 (3207700128)
 %1799	float	%1799	2.65502024 (1076489178)
 %1800	float	%1800	-0.659855068 (3207130179)
 %1801	float	%1801	-0.330502272 (3198760856)
 %1802	float	%1802	1.61909151 (1070546532)
 %1803	float	%1803	2.69717336 (1076665981)
 %1804	float	%1804	0.00000000 (0)
 %1805	float	%1805	0.00000000 (0)
 %1806	float	%1806	0.996002197 (1065286144)
 %1807	float	%1807	0.470497102 (1055974655)
 %1808	float	%1808	-1.72398496 (3218910090)
 %1809	float	%1809	-0.662503660 (3207174615)
 %1810	float	%1810	0.00000000 (0)
 %1811	float	%1811	1.65752995 (1070868977)
 %1812	float	%1812	0.537620544 (1057595776)
 %1813	float	%1813	-0.331828862 (3198805369)
 %1814	float	%1814	0.00000000 (0)
 %1815	float	%1815	0.575100064 (1058224578)
 %1816	float	%1816	-0.696611643 (3207746852)
 %1817	float	%1817	1.62559032 (1070601048)
 %1818	float	%1818	-0.427568644 (3202017863)
 %1819	float	%1819	2.66567731 (1076533877)
 %1820	float	%1820	2.70799947 (1076711389)
 %1821	integer	%1821	0 (0)
 %1822	float	%1822	0.00000000 (0)
 %1823	float	%1823	0.00000000 (0)
 %1824	float	%1824	0.00000000 (0)
 %1825	integer	%1825	1 (1)
 %1826	integer	%1826	1 (1)
 %1827	integer	%1827	0 (0)
 %1828	integer	%1828	0 (0)
 %2397	float	%2397	0.470497102 (1055974655)
 %2398	float	%2398	1.65752995 (1070868977)
 %2399	float	%2399	0.575100064 (1058224578)
 %2400	float	%2400	-0.427568644 (3202017863)
 %2401	float	%2401	-1.72398496 (3218910090)
 %2402	float	%2402	0.537620544 (1057595776)
 %2403	float	%2403	-0.696611643 (3207746852)
 %2404	float	%2404	2.66567731 (1076533877)
 %2405	float	%2405	-0.662503660 (3207174615)
 %2406	float	%2406	-0.331828862 (3198805369)
 %2407	float	%2407	1.62559032 (1070601048)
 %2408	float	%2408	2.70799947 (1076711389)
 %2409	integer	%2409	1 (1)
 %2410	integer	%2410	0 (0)
 %2603	float	%2603	0.470497102 (1055974655)
 %2604	float	%2604	1.65752995 (1070868977)
 %2605	float	%2605	0.575100064 (1058224578)
 %2606	float	%2606	-0.427568644 (3202017863)
 %2607	float	%2607	-1.72398496 (3218910090)
 %2608	float	%2608	0.537620544 (1057595776)
 %2609	float	%2609	-0.696611643 (3207746852)
 %2610	float	%2610	2.66567731 (1076533877)
 %2611	float	%2611	-0.662503660 (3207174615)
 %2612	float	%2612	-0.331828862 (3198805369)
 %2613	float	%2613	1.62559032 (1070601048)
 %2614	float	%2614	2.70799947 (1076711389)
 %2615	float	%2615	1.55363083 (1069997408)
 %2616	float	%2616	4.45662737 (1083088049)
 %2617	float	%2617	4.18449593 (1082517348)
 %2618	float	%2618	3.75692725 (1081110911)
 %2619	float	%2619	-5.69277906 (3233164095)
 %2620	float	%2620	-4.75119114 (3231189442)
 %2621	float	%2621	-4.42156124 (3230498158)
 %2622	float	%2622	-1.75588393 (3219177678)
 %2623	float	%2623	-2.18765664 (3222012561)
 %2624	float	%2624	-2.76882148 (3224450143)
 %2625	float	%2625	-3.53803468 (3227676457)
 %2626	float	%2626	-0.830035210 (3209985328)
 %2627	float	%2627	0.605989456 (1058742816)
 %2628	float	%2628	0.605989456 (1058742816)
 %2629	float	%2629	1.32584810 (1068086628)
 %2630	float	%2630	-12.1576729 (3242362324)
 %2631	float	%2631	0.00000000 (0)
 %2632	float	%2632	-1.81953144 (3219711592)
 %2633	float	%2633	-1.81953144 (3219711592)
 %2634	float	%2634	-11.7336550 (3241917709)
 %2635	float	%2635	3.45185328 (1079831338)
 %2636	float	%2636	3.45185328 (1079831338)
 %2637	float	%2637	3.32547855 (1079301284)
 %2638	float	%2638	-21.0166245 (3249021452)
 %2639	float	%2639	0.911621094 (1063870464)
 %2640	float	%2640	0.291748047 (1049976832)
 %2641	float	%2641	-0.289306641 (3197378560)
 %2642	float	%2642	0.157628864 (1042377078)
 %2643	float	%2643	0.157628864 (1042377078)
 %2644	float	%2644	0.442577809 (1055037839)
 %2645	float	%2645	0.00000000 (0)
 %2646	float	%2646	0.291748047 (1049976832)
 %2647	float	%2647	0.291748047 (1049976832)
 %2648	float	%2648	0.897889793 (1063640091)
 %2649	float	%2649	0.897889793 (1063640091)
 %2650	float	%2650	0.847865641 (1062800825)
 %2651	float	%2651	0.442626953 (1055039488)
 %2652	float	%2652	0.291748047 (1049976832)
 %2653	float	%2653	0.847656250 (1062797312)
 %2654	float	%2654	-0.279785156 (3197059072)
 %2655	float	%2655	-0.0604248047 (3178725376)
 %2656	float	%2656	-0.958007812 (3212132352)
 %2657	float	%2657	-0.0483777933 (3175491531)
 %2658	float	%2658	-0.0483777933 (3175491531)
 %2659	float	%2659	0.895200014 (1063594964)
 %2660	float	%2660	-0.00000000 (2147483648)
 %2661	float	%2661	-0.0604248047 (3178725376)
 %2662	float	%2662	-0.0604248047 (3178725376)
 %2663	float	%2663	-0.275570899 (3196917665)
 %2664	float	%2664	-0.275570899 (3196917665)
 %2665	float	%2665	-0.441220522 (3202475944)
 %2666	float	%2666	0.895019531 (1063591936)
 %2667	float	%2667	-0.0604248047 (3178725376)
 %2668	float	%2668	-0.441162109 (3202473984)
 %2671	integer	%2671	1114258 (1114258)
 %2672	integer	%2672	1114258 (1114258)
 %2673	integer	%2673	0 (0)
 %2674	integer	%2674	1 (1)
 %2678	integer	%2678	359 (359)
 %2679	integer	%2679	359 (359)
 %2680	integer	%2680	359 (359)
 %2681	integer	%2681	1 (1)
 %2682	integer	%2682	359 (359)
 %2683	integer	%2683	359 (359)
 %2687	integer	%2687	0 (0)
 %2688	integer	%2688	8388479 (8388479)
 %2689	integer	%2689	0 (0)
 %2690	integer	%2690	8388479 (8388479)
 %2691	integer	%2691	0 (0)
 %2692	integer	%2692	8388479 (8388479)
 %2693	integer	%2693	127 (127)
 %2694	float	%2694	127.000000 (1123942400)
 %2695	integer	%2695	32767 (32767)
 %2696	integer	%2696	255 (255)
 %2697	float	%2697	255.000000 (1132396544)
 %2698	integer	%2698	127 (127)
 %2699	integer	%2699	127 (127)
 %2700	float	%2700	127.000000 (1123942400)
 %2701	float	%2701	0.996093750 (1065287680)
 %2702	float	%2702	2.00000000 (1073741824)
 %2703	float	%2703	0.996093750 (1065287680)
 %2704	float	%2704	-0.00390625000 (3145728000)
 %2705	float	%2705	1.00000000 (1065353216)
 %2706	float	%2706	-0.00390625000 (3145728000)
 %2707	float	%2707	1.00000000 (1065353216)
 %2708	float	%2708	1.00000000 (1065353216)
 %2709	float	%2709	-0.00390625000 (3145728000)
 %2710	float	%2710	1.00000000 (1065353216)
 %2711	float	%2711	-0.00390625000 (3145728000)
 %2712	float	%2712	0.994628906 (1065263104)
 %2714	float	%2714	0.994628906 (1065263104)
 %2717	integer	%2717	359 (359)
 %2718	integer	%2718	359 (359)
 %2719	integer	%2719	359 (359)
 %2720	integer	%2720	1 (1)
 %2721	integer	%2721	359 (359)
 %2722	integer	%2722	359 (359)
 %2726	float	%2726	0.00000000 (0)
 %2727	float	%2727	0.00000000 (0)
 %2728	float	%2728	0.00000000 (0)
 %2729	integer	%2729	0 (0)
 %2730	float	%2730	-12.1576729 (3242362324)
 %2731	float	%2731	-11.7336550 (3241917709)
 %2732	float	%2732	-21.0166245 (3249021452)
 %2733	float	%2733	0.649612188 (1059474684)
 %2734	float	%2734	0.649612188 (1059474684)
 %2735	float	%2735	1.46714497 (1069271912)
 %2736	float	%2736	-12.0057859 (3242203059)
 %2737	float	%2737	0.00000000 (0)
 %2738	float	%2738	-1.75588393 (3219177678)
 %2739	float	%2739	-1.75588393 (3219177678)
 %2740	float	%2740	-11.6050053 (3241782810)
 %2741	float	%2741	3.70033860 (1080873561)
 %2742	float	%2742	3.70033860 (1080873561)
 %2743	float	%2743	3.55681682 (1080271587)
 %2744	float	%2744	-20.7882462 (3248901716)
 %2746	float	%2746	-0.687234521 (3207589530)
 %2747	float	%2747	-0.0841739848 (3182191465)
 %2748	float	%2748	0.00000000 (0)
 %2749	float	%2749	-0.707243502 (3207925225)
 %2751	float	%2751	-8.96454912e-06 (3071698546)
 %2752	float	%2752	1.72797644 (1071459925)
 %2753	float	%2753	0.00000000 (0)
 %2754	float	%2754	-0.0688477308 (3180134410)
 %2756	float	%2756	0.690599501 (1060162337)
 %2757	float	%2757	-0.0837415084 (3182133419)
 %2758	float	%2758	0.00000000 (0)
 %2759	float	%2759	-0.703609705 (3207864260)
 %2761	float	%2761	0.00000000 (0)
 %2762	float	%2762	0.00000000 (0)
 %2763	float	%2763	0.200000003 (1045220557)
 %2764	float	%2764	0.00000000 (0)
 %2765	float	%2765	8.35517216 (1090891465)
 %2766	float	%2766	8.35527706 (1090891575)
 %2767	float	%2767	-6.15879345 (3234141398)
 %2768	float	%2768	-6.15879345 (3234141398)
 %2769	float	%2769	1.02335978 (1065549172)
 %2770	float	%2770	-19.2521191 (3248096343)
 %2771	float	%2771	-17.4921551 (3247173615)
 %2772	float	%2772	-17.4921551 (3247173615)
 %2773	float	%2773	-0.00000000 (2147483648)
 %2774	float	%2774	-0.00000000 (2147483648)
 %2775	float	%2775	-0.00000000 (2147483648)
 %2776	float	%2776	0.200000003 (1045220557)
 %2777	float	%2777	8.59843540 (1091146545)
 %2778	float	%2778	9.40627098 (1091993622)
 %2779	float	%2779	24.1937714 (1103203544)
 %2780	float	%2780	24.1937714 (1103203544)
 %2782	float	%2782	-0.686866164 (3207583350)
 %2783	float	%2783	-0.0846105590 (3182250061)
 %2784	float	%2784	-0.707243502 (3207925225)
 %2786	float	%2786	2.68936456e-05 (937531818)
 %2787	float	%2787	1.72793400 (1071459569)
 %2788	float	%2788	-0.0688477308 (3180134410)
 %2790	float	%2790	0.690965950 (1060168485)
 %2791	float	%2791	-0.0841758400 (3182191714)
 %2792	float	%2792	-0.703609705 (3207864260)
 %2794	float	%2794	0.00000000 (0)
 %2795	float	%2795	0.00000000 (0)
 %2796	float	%2796	0.00000000 (0)
 %2797	float	%2797	8.24636841 (1090777376)
 %2798	float	%2798	8.24605656 (1090777049)
 %2799	float	%2799	-6.11791372 (3234055667)
 %2800	float	%2800	-6.11791372 (3234055667)
 %2801	float	%2801	1.01581621 (1065485892)
 %2802	float	%2802	-19.0368671 (3247983489)
 %2803	float	%2803	-17.2869987 (3247066054)
 %2804	float	%2804	-17.2869987 (3247066054)
 %2805	float	%2805	8.49101448 (1091033906)
 %2806	float	%2806	9.28999233 (1091871695)
 %2807	float	%2807	23.9168034 (1103058333)
 %2808	float	%2808	23.9168034 (1103058333)
 %2810	integer	%2810	300 (300)
 %2811	integer	%2811	300 (300)
 %2814	integer	%2814	1 (1)
 %2815	integer	%2815	1 (1)
 %2816	integer	%2816	1 (1)
 %2819	integer	%2819	119 (119)
 %2820	integer	%2820	119 (119)
 %2821	integer	%2821	1 (1)
 %2824	integer	%2824	0 (0)
 %2825	integer	%2825	0 (0)
 %2826	integer	%2826	0 (0)
 %2827	integer	%2827	1 (1)
 %2828	integer	%2828	131072 (131072)
 %2829	integer	%2829	1 (1)
 %2830	integer	%2830	65536 (65536)
 %2831	integer	%2831	119 (119)
 %2832	integer	%2832	196608 (196608)
 %2833	integer	%2833	196727 (196727)
 %2834	integer	%2834	196727 (196727)
 %2838	integer	%2838	1 (1)
 %2839	integer	%2839	1 (1)
 %2840	integer	%2840	0 (0)
 %2841	integer	%2841	1 (1)
