"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"358","0","0","-8.21829","-11.009","0.2","27.182","1.18262","0.612305","-8.2389","-11.1078","27.1713","-0.00505447","-0.770996","0.636719","-1","-0.822266","0.366211","0.436035","0.348389","131187"
"[1]",,"357","0","0","-8.18736","-11.1866","0.2","27.196","1.17969","0.620117","-8.20844","-11.2851","27.1851","0.245972","-0.908691","0.336914","-1","-0.619629","0.119507","0.775391","0.108887","131187"
"[2]",,"351","0","0","-8.20183","-11.1369","0.2","27.1549","1.18457","0.619141","-8.22288","-11.2353","27.1439","0.441895","-0.877441","0.185913","-1","-0.342773","0.0252838","0.938965","0.0190582","131187"
"[3]",,"358","1","0","-8.21829","-11.009","0.2","27.182","1.18262","0.612305","-8.2389","-11.1078","27.1713","-0.00505447","-0.770996","0.636719","-1","-0.822266","0.366211","0.436035","0.348389","131187"
"[4]",,"355","1","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[5]",,"357","1","0","-8.18736","-11.1866","0.2","27.196","1.17969","0.620117","-8.20844","-11.2851","27.1851","0.245972","-0.908691","0.336914","-1","-0.619629","0.119507","0.775391","0.108887","131187"
"[6]",,"355","2","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[7]",,"348","2","0","-8.17869","-11.2004","0.2","27.2567","1.17578","0.62207","-8.19919","-11.2994","27.2458","-0.022583","-0.942871","0.332275","-1","-0.484863","0.297119","0.822266","0.286865","131187"
"[8]",,"357","2","0","-8.18736","-11.1866","0.2","27.196","1.17969","0.620117","-8.20844","-11.2851","27.1851","0.245972","-0.908691","0.336914","-1","-0.619629","0.119507","0.775391","0.108887","131187"
"[9]",,"348","3","0","-8.17869","-11.2004","0.2","27.2567","1.17578","0.62207","-8.19919","-11.2994","27.2458","-0.022583","-0.942871","0.332275","-1","-0.484863","0.297119","0.822266","0.286865","131187"
"[10]",,"355","3","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[11]",,"347","3","0","-8.17857","-11.1874","0.2","27.2837","1.17383","0.620605","-8.19914","-11.2865","27.2728","-0.680176","0.197998","0.706055","-1","-0.256104","0.833496","-0.489502","0.827637","131187"
"[12]",,"347","4","0","-8.17857","-11.1874","0.2","27.2837","1.17383","0.620605","-8.19914","-11.2865","27.2728","-0.680176","0.197998","0.706055","-1","-0.256104","0.833496","-0.489502","0.827637","131187"
"[13]",,"338","4","0","-8.14075","-11.2311","0.2","27.3146","1.1709","0.625","-8.16133","-11.3302","27.3037","-0.154175","-0.864746","0.477783","-1","-0.341309","0.499756","0.795898","0.492676","131187"
"[14]",,"348","4","0","-8.17869","-11.2004","0.2","27.2567","1.17578","0.62207","-8.19919","-11.2994","27.2458","-0.022583","-0.942871","0.332275","-1","-0.484863","0.297119","0.822266","0.286865","131187"
"[15]",,"338","5","0","-8.14075","-11.2311","0.2","27.3146","1.1709","0.625","-8.16133","-11.3302","27.3037","-0.154175","-0.864746","0.477783","-1","-0.341309","0.499756","0.795898","0.492676","131187"
"[16]",,"347","5","0","-8.17857","-11.1874","0.2","27.2837","1.17383","0.620605","-8.19914","-11.2865","27.2728","-0.680176","0.197998","0.706055","-1","-0.256104","0.833496","-0.489502","0.827637","131187"
"[17]",,"341","5","0","-8.14404","-11.2257","0.2","27.3358","1.16992","0.624023","-8.16467","-11.3248","27.3249","-0.648926","0.302979","0.698242","-1","-0.347656","0.699219","-0.624512","0.690918","131187"
"[18]",,"341","6","0","-8.14404","-11.2257","0.2","27.3358","1.16992","0.624023","-8.16467","-11.3248","27.3249","-0.648926","0.302979","0.698242","-1","-0.347656","0.699219","-0.624512","0.690918","131187"
"[19]",,"339","6","0","-8.119","-11.2458","0.2","27.3508","1.16797","0.625977","-8.13964","-11.3449","27.3399","-0.0907593","0.915527","0.391357","-1","-0.993652","-0.110962","0.0218658","-0.133301","131187"
"[20]",,"338","6","0","-8.14075","-11.2311","0.2","27.3146","1.1709","0.625","-8.16133","-11.3302","27.3037","-0.154175","-0.864746","0.477783","-1","-0.341309","0.499756","0.795898","0.492676","131187"
"[21]",,"355","7","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[22]",,"358","7","0","-8.21829","-11.009","0.2","27.182","1.18262","0.612305","-8.2389","-11.1078","27.1713","-0.00505447","-0.770996","0.636719","-1","-0.822266","0.366211","0.436035","0.348389","131187"
"[23]",,"356","7","0","-8.21961","-11.0079","0.2","27.185","1.18262","0.612305","-8.24023","-11.1068","27.1743","-0.729004","-0.252197","0.636719","-1","-0.656738","0.522949","-0.543457","0.507812","131187"
"[24]",,"356","8","0","-8.21961","-11.0079","0.2","27.185","1.18262","0.612305","-8.24023","-11.1068","27.1743","-0.729004","-0.252197","0.636719","-1","-0.656738","0.522949","-0.543457","0.507812","131187"
"[25]",,"361","8","0","-8.22769","-11.1891","0.2","27.2025","1.17578","0.61377","-8.24878","-11.2878","27.1914","-0.834473","-0.114746","-0.538574","-1","0.546387","-0.274902","-0.791016","-0.265381","131187"
"[26]",,"355","8","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[27]",,"342","9","0","-8.18607","-11.226","0.2","27.2754","1.17285","0.619141","-8.20658","-11.3251","27.2644","-0.922363","0.098999","-0.374023","-1","0.303467","-0.418457","-0.855957","-0.412598","131187"
"[28]",,"355","9","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[29]",,"361","9","0","-8.22769","-11.1891","0.2","27.2025","1.17578","0.61377","-8.24878","-11.2878","27.1914","-0.834473","-0.114746","-0.538574","-1","0.546387","-0.274902","-0.791016","-0.265381","131187"
"[30]",,"355","10","0","-8.21166","-11.112","0.2","27.2292","1.17773","0.616211","-8.23223","-11.211","27.2183","-0.803711","0.0953979","0.587402","-1","-0.453613","0.541016","-0.708008","0.530273","131187"
"[31]",,"342","10","0","-8.18607","-11.226","0.2","27.2754","1.17285","0.619141","-8.20658","-11.3251","27.2644","-0.922363","0.098999","-0.374023","-1","0.303467","-0.418457","-0.855957","-0.412598","131187"
