Index	Launch Debugger	Vertex_ID	Primitive_ID	Instance_ID	SV_POSITION_C0	SV_POSITION_C1	SV_POSITION_C2	SV_POSITION_C3	TEXCOORD2_C0	TEXCOORD2_C1	TEXCOORD2_C2	TEXCOORD3_C0	TEXCOORD3_C1
[0]	362	0	0	-2.94022	-6.73692	0.2	24.247	0.0136795	0.427246	0.904297	201	255
[1]	352	0	0	-2.87252	-6.89545	0.2	24.1198	-0.625977	-0.0251617	0.779785	201	255
[2]	460	0	0	-2.92618	-6.8313	0.2	24.1886	-0.307861	0.297119	0.903809	201	255
[3]	352	1	0	-2.87252	-6.89545	0.2	24.1198	-0.625977	-0.0251617	0.779785	201	255
[4]	362	1	0	-2.94022	-6.73692	0.2	24.247	0.0136795	0.427246	0.904297	201	255
[5]	458	1	0	-2.88132	-6.76067	0.2	24.148	-0.416016	0.47583	0.774902	201	255
[6]	455	2	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[7]	352	2	0	-2.87252	-6.89545	0.2	24.1198	-0.625977	-0.0251617	0.779785	201	255
[8]	458	2	0	-2.88132	-6.76067	0.2	24.148	-0.416016	0.47583	0.774902	201	255
[9]	352	3	0	-2.87252	-6.89545	0.2	24.1198	-0.625977	-0.0251617	0.779785	201	255
[10]	455	3	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[11]	459	3	0	-2.8176	-6.88693	0.2	24.0858	-0.9375	-0.0822144	0.337158	201	255
[12]	455	4	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[13]	360	4	0	-2.74195	-6.84804	0.2	24.1046	-0.963867	-0.167725	-0.206665	201	255
[14]	459	4	0	-2.8176	-6.88693	0.2	24.0858	-0.9375	-0.0822144	0.337158	201	255
[15]	360	5	0	-2.74195	-6.84804	0.2	24.1046	-0.963867	-0.167725	-0.206665	201	255
[16]	455	5	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[17]	346	5	0	-2.75313	-6.74412	0.2	24.1017	-0.812988	0.579102	-0.0594788	201	255
[18]	346	6	0	-2.75313	-6.74412	0.2	24.1017	-0.812988	0.579102	-0.0594788	201	255
[19]	363	6	0	-2.69502	-6.78929	0.2	24.141	-0.722656	0.118835	-0.680664	201	255
[20]	360	6	0	-2.74195	-6.84804	0.2	24.1046	-0.963867	-0.167725	-0.206665	201	255
[21]	118	7	0	-2.92265	-6.67765	0.2	24.2772	0.306885	0.757324	0.57666	201	255
[22]	458	7	0	-2.88132	-6.76067	0.2	24.148	-0.416016	0.47583	0.774902	201	255
[23]	362	7	0	-2.94022	-6.73692	0.2	24.247	0.0136795	0.427246	0.904297	201	255
[24]	458	8	0	-2.88132	-6.76067	0.2	24.148	-0.416016	0.47583	0.774902	201	255
[25]	118	8	0	-2.92265	-6.67765	0.2	24.2772	0.306885	0.757324	0.57666	201	255
[26]	341	8	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[27]	341	9	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[28]	455	9	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[29]	458	9	0	-2.88132	-6.76067	0.2	24.148	-0.416016	0.47583	0.774902	201	255
[30]	455	10	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[31]	341	10	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[32]	343	10	0	-2.81045	-6.65052	0.2	24.1631	-0.283936	0.951172	0.120361	201	255
[33]	343	11	0	-2.81045	-6.65052	0.2	24.1631	-0.283936	0.951172	0.120361	201	255
[34]	346	11	0	-2.75313	-6.74412	0.2	24.1017	-0.812988	0.579102	-0.0594788	201	255
[35]	455	11	0	-2.80915	-6.74872	0.2	24.1064	-0.706055	0.562012	0.430176	201	255
[36]	346	12	0	-2.75313	-6.74412	0.2	24.1017	-0.812988	0.579102	-0.0594788	201	255
[37]	343	12	0	-2.81045	-6.65052	0.2	24.1631	-0.283936	0.951172	0.120361	201	255
[38]	457	12	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[39]	457	13	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[40]	363	13	0	-2.69502	-6.78929	0.2	24.141	-0.722656	0.118835	-0.680664	201	255
[41]	346	13	0	-2.75313	-6.74412	0.2	24.1017	-0.812988	0.579102	-0.0594788	201	255
[42]	363	14	0	-2.69502	-6.78929	0.2	24.141	-0.722656	0.118835	-0.680664	201	255
[43]	457	14	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[44]	264	14	0	-2.69437	-6.70222	0.2	24.1723	-0.535156	0.610352	-0.584473	201	255
[45]	457	15	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[46]	345	15	0	-2.71393	-6.64826	0.2	24.2284	-0.0769043	0.83252	-0.548828	201	255
[47]	264	15	0	-2.69437	-6.70222	0.2	24.1723	-0.535156	0.610352	-0.584473	201	255
[48]	345	16	0	-2.71393	-6.64826	0.2	24.2284	-0.0769043	0.83252	-0.548828	201	255
[49]	457	16	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[50]	344	16	0	-2.75238	-6.63127	0.2	24.2771	0.171753	0.9375	-0.302002	201	255
[51]	457	17	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[52]	353	17	0	-2.78542	-6.62911	0.2	24.2972	0.304688	0.936035	-0.176392	201	255
[53]	344	17	0	-2.75238	-6.63127	0.2	24.2771	0.171753	0.9375	-0.302002	201	255
[54]	118	18	0	-2.92265	-6.67765	0.2	24.2772	0.306885	0.757324	0.57666	201	255
[55]	456	18	0	-2.8447	-6.64306	0.2	24.3002	0.380371	0.92041	0.0928955	201	255
[56]	341	18	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[57]	353	19	0	-2.78542	-6.62911	0.2	24.2972	0.304688	0.936035	-0.176392	201	255
[58]	341	19	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[59]	456	19	0	-2.8447	-6.64306	0.2	24.3002	0.380371	0.92041	0.0928955	201	255
[60]	341	20	0	-2.86672	-6.65285	0.2	24.2001	-0.0909424	0.888672	0.449951	201	255
[61]	353	20	0	-2.78542	-6.62911	0.2	24.2972	0.304688	0.936035	-0.176392	201	255
[62]	343	20	0	-2.81045	-6.65052	0.2	24.1631	-0.283936	0.951172	0.120361	201	255
[63]	353	21	0	-2.78542	-6.62911	0.2	24.2972	0.304688	0.936035	-0.176392	201	255
[64]	457	21	0	-2.74552	-6.68575	0.2	24.1782	-0.341064	0.929199	-0.143066	201	255
[65]	343	21	0	-2.81045	-6.65052	0.2	24.1631	-0.283936	0.951172	0.120361	201	255
[66]	834	22	0	-3.09278	-6.44373	0.2	25.3594	-0.106628	0.461426	-0.880859	201	255
[67]	817	22	0	-3.06605	-6.51861	0.2	25.4808	0.435303	0.878906	-0.194214	201	255
[68]	816	22	0	-3.06035	-6.49451	0.2	25.3611	0.0787964	0.94043	-0.330811	201	255
[69]	817	23	0	-3.06605	-6.51861	0.2	25.4808	0.435303	0.878906	-0.194214	201	255
[70]	834	23	0	-3.09278	-6.44373	0.2	25.3594	-0.106628	0.461426	-0.880859	201	255
[71]	829	23	0	-3.11325	-6.48028	0.2	25.4914	0.392822	0.365479	-0.84375	201	255
[72]	829	24	0	-3.11325	-6.48028	0.2	25.4914	0.392822	0.365479	-0.84375	201	255
[73]	788	24	0	-3.11576	-6.58739	0.2	25.5589	0.526367	0.794434	-0.303467	201	255
[74]	817	24	0	-3.06605	-6.51861	0.2	25.4808	0.435303	0.878906	-0.194214	201	255
[75]	644	25	0	-3.1928	-6.51567	0.2	25.5744	0.642578	0.347656	-0.683105	201	255
[76]	788	25	0	-3.11576	-6.58739	0.2	25.5589	0.526367	0.794434	-0.303467	201	255
[77]	829	25	0	-3.11325	-6.48028	0.2	25.4914	0.392822	0.365479	-0.84375	201	255
[78]	788	26	0	-3.11576	-6.58739	0.2	25.5589	0.526367	0.794434	-0.303467	201	255
[79]	644	26	0	-3.1928	-6.51567	0.2	25.5744	0.642578	0.347656	-0.683105	201	255
[80]	651	26	0	-3.17802	-6.57931	0.2	25.6123	0.587402	0.70166	-0.403076	201	255
[81]	647	27	0	-3.32755	-6.47954	0.2	25.6193	0.901855	0.304199	-0.306152	201	255
[82]	651	27	0	-3.17802	-6.57931	0.2	25.6123	0.587402	0.70166	-0.403076	201	255
[83]	644	27	0	-3.1928	-6.51567	0.2	25.5744	0.642578	0.347656	-0.683105	201	255
[84]	651	28	0	-3.17802	-6.57931	0.2	25.6123	0.587402	0.70166	-0.403076	201	255
[85]	647	28	0	-3.32755	-6.47954	0.2	25.6193	0.901855	0.304199	-0.306152	201	255
[86]	655	28	0	-3.29112	-6.66033	0.2	25.6757	0.754395	0.542969	-0.368896	201	255
[87]	647	29	0	-3.32755	-6.47954	0.2	25.6193	0.901855	0.304199	-0.306152	201	255
[88]	815	29	0	-3.40183	-6.61948	0.2	25.6675	0.778809	0.585449	-0.22522	201	255
[89]	655	29	0	-3.29112	-6.66033	0.2	25.6757	0.754395	0.542969	-0.368896	201	255
[90]	827	30	0	-3.12326	-6.33563	0.2	25.3616	-0.251221	0.0191956	-0.967773	201	255
[91]	829	30	0	-3.11325	-6.48028	0.2	25.4914	0.392822	0.365479	-0.84375	201	255
[92]	834	30	0	-3.09278	-6.44373	0.2	25.3594	-0.106628	0.461426	-0.880859	201	255
[93]	829	31	0	-3.11325	-6.48028	0.2	25.4914	0.392822	0.365479	-0.84375	201	255
[94]	827	31	0	-3.12326	-6.33563	0.2	25.3616	-0.251221	0.0191956	-0.967773	201	255
[95]	828	31	0	-3.13133	-6.33098	0.2	25.471	0.0522766	-0.0648804	-0.996582	201	255
[96]	837	32	0	-3.17006	-6.31351	0.2	25.5399	0.592773	-0.0585022	-0.803223	201	255
