"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"10","0","0","-5.54587","-16.6517","0.2","30.1289","-0.0797119","0.816895","-5.58591","-16.7626","30.1084","-0.150269","-0.181152","-0.972168","-1","-0.866699","-0.450684","0.213379","-0.0846558","131190"
"[1]",,"15","0","0","-5.46649","-16.4444","0.2","30.1028","-0.0952759","0.804199","-5.50577","-16.5559","30.0833","-0.290771","-0.216675","-0.932129","-1","-0.868164","-0.350098","0.351074","0.0575562","131190"
"[2]",,"63","0","0","-5.49264","-16.4151","0.2","30.1372","-0.0982666","0.810547","-5.53199","-16.5268","30.1177","-0.297119","-0.235352","-0.925293","-1","-0.819336","-0.436523","0.371582","-0.0383911","131190"
"[3]",,"15","1","0","-5.46649","-16.4444","0.2","30.1028","-0.0952759","0.804199","-5.50577","-16.5559","30.0833","-0.290771","-0.216675","-0.932129","-1","-0.868164","-0.350098","0.351074","0.0575562","131190"
"[4]",,"10","1","0","-5.54587","-16.6517","0.2","30.1289","-0.0797119","0.816895","-5.58591","-16.7626","30.1084","-0.150269","-0.181152","-0.972168","-1","-0.866699","-0.450684","0.213379","-0.0846558","131190"
"[5]",,"0","1","0","-5.50317","-16.6563","0.2","30.0823","-0.0791016","0.807129","-5.543","-16.7673","30.062","-0.291748","-0.247925","-0.923828","-1","-0.862793","-0.348633","0.367188","0.0496826","131190"
"[6]",,"5","2","0","-5.48415","-16.5891","0.2","29.9888","-0.0791626","0.790527","-5.52335","-16.6995","29.9688","-0.797363","-0.477295","-0.370117","-1","-0.328369","-0.15564","0.931641","0.155762","131190"
"[7]",,"15","2","0","-5.46649","-16.4444","0.2","30.1028","-0.0952759","0.804199","-5.50577","-16.5559","30.0833","-0.290771","-0.216675","-0.932129","-1","-0.868164","-0.350098","0.351074","0.0575562","131190"
"[8]",,"0","2","0","-5.50317","-16.6563","0.2","30.0823","-0.0791016","0.807129","-5.543","-16.7673","30.062","-0.291748","-0.247925","-0.923828","-1","-0.862793","-0.348633","0.367188","0.0496826","131190"
"[9]",,"15","3","0","-5.46649","-16.4444","0.2","30.1028","-0.0952759","0.804199","-5.50577","-16.5559","30.0833","-0.290771","-0.216675","-0.932129","-1","-0.868164","-0.350098","0.351074","0.0575562","131190"
"[10]",,"5","3","0","-5.48415","-16.5891","0.2","29.9888","-0.0791626","0.790527","-5.52335","-16.6995","29.9688","-0.797363","-0.477295","-0.370117","-1","-0.328369","-0.15564","0.931641","0.155762","131190"
"[11]",,"18","3","0","-5.44185","-16.367","0.2","30.0043","-0.0967407","0.785645","-5.48045","-16.478","29.9852","-0.833496","-0.425781","-0.351807","-1","-0.289795","-0.19397","0.9375","0.112732","131190"
"[12]",,"18","4","0","-5.44185","-16.367","0.2","30.0043","-0.0967407","0.785645","-5.48045","-16.478","29.9852","-0.833496","-0.425781","-0.351807","-1","-0.289795","-0.19397","0.9375","0.112732","131190"
"[13]",,"9","4","0","-5.41563","-16.1743","0.2","30.126","-0.115601","0.800293","-5.45418","-16.2866","30.1076","-0.583008","-0.281738","-0.761719","-1","-0.65625","-0.385498","0.648438","0.013443","131190"
