"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[21934]",,"3341","7311","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[21935]",,"3364","7311","0","-2.1405","-8.85034","0.2","24.2584","-0.78418","0.0109711","0.620605","201","255"
"[21936]",,"3364","7312","0","-2.1405","-8.85034","0.2","24.2584","-0.78418","0.0109711","0.620605","201","255"
"[21937]",,"3341","7312","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[21938]",,"3334","7312","0","-2.08782","-9.00663","0.2","24.2368","-0.783203","-0.459473","-0.418701","201","255"
"[21939]",,"3341","7313","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[21940]",,"3335","7313","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21941]",,"3334","7313","0","-2.08782","-9.00663","0.2","24.2368","-0.783203","-0.459473","-0.418701","201","255"
"[21942]",,"3335","7314","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21943]",,"3341","7314","0","-2.11918","-8.92954","0.2","24.2749","-0.654297","0.157104","-0.739258","201","255"
"[21944]",,"3412","7314","0","-2.13264","-8.96606","0.2","24.3114","-0.336182","-0.680176","-0.651367","201","255"
"[21945]",,"3408","7315","0","-2.12725","-8.87568","0.2","24.3608","-0.340088","-0.93457","-0.102478","201","255"
"[21946]",,"3335","7315","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21947]",,"3412","7315","0","-2.13264","-8.96606","0.2","24.3114","-0.336182","-0.680176","-0.651367","201","255"
"[21948]",,"3335","7316","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21949]",,"3408","7316","0","-2.12725","-8.87568","0.2","24.3608","-0.340088","-0.93457","-0.102478","201","255"
"[21950]",,"3409","7316","0","-2.16606","-8.87918","0.2","24.4126","-0.00662994","-0.983887","0.179932","201","255"
"[21951]",,"3332","7317","0","-2.18844","-8.82772","0.2","24.3978","0.239258","-0.748047","0.619141","201","255"
"[21952]",,"3335","7317","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21953]",,"3409","7317","0","-2.16606","-8.87918","0.2","24.4126","-0.00662994","-0.983887","0.179932","201","255"
"[21954]",,"3335","7318","0","-2.13358","-8.94022","0.2","24.3247","0.0773315","-0.966797","-0.243774","201","255"
"[21955]",,"3332","7318","0","-2.18844","-8.82772","0.2","24.3978","0.239258","-0.748047","0.619141","201","255"
"[21956]",,"3336","7318","0","-2.14902","-8.89835","0.2","24.3252","0.310547","-0.786133","0.534668","201","255"
"[21957]",,"3403","7319","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21958]",,"3407","7319","0","-2.13949","-8.74767","0.2","24.2556","-0.695312","-0.715332","0.0710449","201","255"
"[21959]",,"3453","7319","0","-2.16568","-8.7351","0.2","24.2812","-0.269775","-0.479736","0.834961","201","255"
"[21960]",,"3407","7320","0","-2.13949","-8.74767","0.2","24.2556","-0.695312","-0.715332","0.0710449","201","255"
"[21961]",,"3403","7320","0","-2.15108","-8.80775","0.2","24.198","-0.368164","-0.92334","0.107178","201","255"
"[21962]",,"3449","7320","0","-2.13897","-8.78278","0.2","24.2095","-0.535645","-0.260986","-0.803223","201","255"
"[21963]",,"3449","7321","0","-2.13897","-8.78278","0.2","24.2095","-0.535645","-0.260986","-0.803223","201","255"
"[21964]",,"3450","7321","0","-2.17078","-8.63403","0.2","24.1413","-0.893555","-0.348633","0.282471","201","255"
"[21965]",,"3407","7321","0","-2.13949","-8.74767","0.2","24.2556","-0.695312","-0.715332","0.0710449","201","255"
"[21966]",,"3450","7322","0","-2.17078","-8.63403","0.2","24.1413","-0.893555","-0.348633","0.282471","201","255"
"[21967]",,"3449","7322","0","-2.13897","-8.78278","0.2","24.2095","-0.535645","-0.260986","-0.803223","201","255"
"[21968]",,"3411","7322","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[21969]",,"3411","7323","0","-2.17494","-8.64412","0.2","24.1293","-0.415283","0.343262","-0.842773","201","255"
"[21970]",,"3396","7323","0","-2.19351","-8.54484","0.2","24.1511","-0.638672","-0.495117","0.588867","201","255"
"[21971]",,"3450","7323","0","-2.17078","-8.63403","0.2","24.1413","-0.893555","-0.348633","0.282471","201","255"
