"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"10052","0","0","-11.6544","-9.50207","0.2","27.2371","0.875488","0.679199","-11.6763","-9.60961","27.2313","-0.495605","0.718262","-0.488037","-1","0.828613","0.559082","-0.0186768","0.942383","196728"
"[1]",,"9360","0","0","-11.7179","-9.43858","0.2","27.2645","0.86377","0.688965","-11.74","-9.54674","27.2587","-0.486084","0.692871","-0.532715","-1","0.600098","0.709473","0.369629","0.989746","131192"
"[2]",,"9746","0","0","-11.6483","-9.45147","0.2","27.2493","0.876953","0.685547","-11.6704","-9.55894","27.2435","-0.532715","0.648926","-0.542969","-1","0.709961","0.692383","0.129517","0.992676","131192"
"[3]",,"9360","1","0","-11.7179","-9.43858","0.2","27.2645","0.86377","0.688965","-11.74","-9.54674","27.2587","-0.486084","0.692871","-0.532715","-1","0.600098","0.709473","0.369629","0.989746","131192"
"[4]",,"10052","1","0","-11.6544","-9.50207","0.2","27.2371","0.875488","0.679199","-11.6763","-9.60961","27.2313","-0.495605","0.718262","-0.488037","-1","0.828613","0.559082","-0.0186768","0.942383","196728"
"[5]",,"10031","1","0","-11.7322","-9.49499","0.2","27.255","0.859863","0.682617","-11.7541","-9.60329","27.2492","-0.00478363","0.963867","-0.265869","-1","0.866699","0.135986","0.47998","0.786133","196728"
"[6]",,"10031","2","0","-11.7322","-9.49499","0.2","27.255","0.859863","0.682617","-11.7541","-9.60329","27.2492","-0.00478363","0.963867","-0.265869","-1","0.866699","0.135986","0.47998","0.786133","196728"
"[7]",,"9990","2","0","-11.8538","-9.39493","0.2","27.2814","0.837402","0.697266","-11.8761","-9.50444","27.2755","-0.491699","0.696777","-0.521973","-1","0.588379","0.706543","0.392578","0.98584","131192"
"[8]",,"9360","2","0","-11.7179","-9.43858","0.2","27.2645","0.86377","0.688965","-11.74","-9.54674","27.2587","-0.486084","0.692871","-0.532715","-1","0.600098","0.709473","0.369629","0.989746","131192"
"[9]",,"9990","3","0","-11.8538","-9.39493","0.2","27.2814","0.837402","0.697266","-11.8761","-9.50444","27.2755","-0.491699","0.696777","-0.521973","-1","0.588379","0.706543","0.392578","0.98584","131192"
"[10]",,"10031","3","0","-11.7322","-9.49499","0.2","27.255","0.859863","0.682617","-11.7541","-9.60329","27.2492","-0.00478363","0.963867","-0.265869","-1","0.866699","0.135986","0.47998","0.786133","196728"
"[11]",,"9839","3","0","-11.8622","-9.45368","0.2","27.2825","0.834473","0.690918","-11.8843","-9.56326","27.2767","0.0756226","0.969238","-0.234863","-1","0.837402","0.0638428","0.54248","0.730957","196728"
"[12]",,"9839","4","0","-11.8622","-9.45368","0.2","27.2825","0.834473","0.690918","-11.8843","-9.56326","27.2767","0.0756226","0.969238","-0.234863","-1","0.837402","0.0638428","0.54248","0.730957","196728"
"[13]",,"9826","4","0","-11.9881","-9.36021","0.2","27.3038","0.811523","0.706543","-12.0105","-9.47104","27.2979","-0.314453","0.740723","-0.59375","-1","0.434082","0.66748","0.60498","0.906738","131192"
"[14]",,"9990","4","0","-11.8538","-9.39493","0.2","27.2814","0.837402","0.697266","-11.8761","-9.50444","27.2755","-0.491699","0.696777","-0.521973","-1","0.588379","0.706543","0.392578","0.98584","131192"
"[15]",,"9826","5","0","-11.9881","-9.36021","0.2","27.3038","0.811523","0.706543","-12.0105","-9.47104","27.2979","-0.314453","0.740723","-0.59375","-1","0.434082","0.66748","0.60498","0.906738","131192"
"[16]",,"9839","5","0","-11.8622","-9.45368","0.2","27.2825","0.834473","0.690918","-11.8843","-9.56326","27.2767","0.0756226","0.969238","-0.234863","-1","0.837402","0.0638428","0.54248","0.730957","196728"
"[17]",,"9984","5","0","-11.9908","-9.41476","0.2","27.2954","0.80957","0.700195","-12.013","-9.52562","27.2894","0.052124","0.965332","-0.255859","-1","0.738281","0.135498","0.661133","0.743652","196728"
"[18]",,"9837","6","0","-12.0884","-9.3551","0.2","27.2911","0.791992","0.711426","-12.1108","-9.46694","27.2851","0.121826","0.974121","-0.190796","-1","0.682617","0.0591125","0.728516","0.669434","196728"
"[19]",,"9826","6","0","-11.9881","-9.36021","0.2","27.3038","0.811523","0.706543","-12.0105","-9.47104","27.2979","-0.314453","0.740723","-0.59375","-1","0.434082","0.66748","0.60498","0.906738","131192"
"[20]",,"9984","6","0","-11.9908","-9.41476","0.2","27.2954","0.80957","0.700195","-12.013","-9.52562","27.2894","0.052124","0.965332","-0.255859","-1","0.738281","0.135498","0.661133","0.743652","196728"
"[21]",,"9826","7","0","-11.9881","-9.36021","0.2","27.3038","0.811523","0.706543","-12.0105","-9.47104","27.2979","-0.314453","0.740723","-0.59375","-1","0.434082","0.66748","0.60498","0.906738","131192"
"[22]",,"9837","7","0","-12.0884","-9.3551","0.2","27.2911","0.791992","0.711426","-12.1108","-9.46694","27.2851","0.121826","0.974121","-0.190796","-1","0.682617","0.0591125","0.728516","0.669434","196728"
"[23]",,"9978","7","0","-12.0783","-9.30628","0.2","27.2978","0.79541","0.716309","-12.1009","-9.41801","27.2918","-0.21228","0.771484","-0.599609","-1","0.349854","0.634277","0.688965","0.847656","131192"
"[24]",,"10121","8","0","-11.6776","-9.57384","0.2","27.2439","0.868652","0.671875","-11.6993","-9.6816","27.2382","-0.20813","0.962402","-0.173828","-1","0.90625","0.117432","-0.405273","0.586914","196728"
"[25]",,"10031","8","0","-11.7322","-9.49499","0.2","27.255","0.859863","0.682617","-11.7541","-9.60329","27.2492","-0.00478363","0.963867","-0.265869","-1","0.866699","0.135986","0.47998","0.786133","196728"
"[26]",,"10052","8","0","-11.6544","-9.50207","0.2","27.2371","0.875488","0.679199","-11.6763","-9.60961","27.2313","-0.495605","0.718262","-0.488037","-1","0.828613","0.559082","-0.0186768","0.942383","196728"
"[27]",,"10031","9","0","-11.7322","-9.49499","0.2","27.255","0.859863","0.682617","-11.7541","-9.60329","27.2492","-0.00478363","0.963867","-0.265869","-1","0.866699","0.135986","0.47998","0.786133","196728"
"[28]",,"10121","9","0","-11.6776","-9.57384","0.2","27.2439","0.868652","0.671875","-11.6993","-9.6816","27.2382","-0.20813","0.962402","-0.173828","-1","0.90625","0.117432","-0.405273","0.586914","196728"
"[29]",,"10201","9","0","-11.7499","-9.60216","0.2","27.2624","0.853027","0.67041","-11.7715","-9.71064","27.2566","0.242798","0.960449","-0.136108","-1","0.862793","-0.149536","0.483154","0.581543","196728"
