Index	Launch Debugger	Vertex_ID	Primitive_ID	Instance_ID	SV_POSITION_C0	SV_POSITION_C1	SV_POSITION_C2	SV_POSITION_C3	TEXCOORD2_C0	TEXCOORD2_C1	TEXCOORD2_C2	TEXCOORD3_C0	TEXCOORD3_C1
[0]	10052	0	0	-6.97251	-9.97143	0.2	25.0653	-0.061554	0.790039	0.609863	201	255
[1]	9360	0	0	-7.04079	-9.95998	0.2	25.084	-0.00642776	0.983398	0.181274	201	255
[2]	9746	0	0	-6.9765	-9.94792	0.2	25.0928	0.0270233	0.902344	0.43042	201	255
[3]	9360	1	0	-7.04079	-9.95998	0.2	25.084	-0.00642776	0.983398	0.181274	201	255
[4]	10052	1	0	-6.97251	-9.97143	0.2	25.0653	-0.061554	0.790039	0.609863	201	255
[5]	10031	1	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[6]	10031	2	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[7]	9990	2	0	-7.16564	-9.96438	0.2	25.0648	-0.00945282	0.987793	0.156006	201	255
[8]	9360	2	0	-7.04079	-9.95998	0.2	25.084	-0.00642776	0.983398	0.181274	201	255
[9]	9990	3	0	-7.16564	-9.96438	0.2	25.0648	-0.00945282	0.987793	0.156006	201	255
[10]	10031	3	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[11]	9839	3	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[12]	9839	4	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[13]	9826	4	0	-7.28883	-9.9799	0.2	25.0472	-0.0437317	0.993164	-0.107178	201	255
[14]	9990	4	0	-7.16564	-9.96438	0.2	25.0648	-0.00945282	0.987793	0.156006	201	255
[15]	9826	5	0	-7.28883	-9.9799	0.2	25.0472	-0.0437317	0.993164	-0.107178	201	255
[16]	9839	5	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[17]	9984	5	0	-7.28202	-10.0099	0.2	25.0217	-0.61084	0.791504	0.0201721	201	255
[18]	9837	6	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[19]	9826	6	0	-7.28883	-9.9799	0.2	25.0472	-0.0437317	0.993164	-0.107178	201	255
[20]	9984	6	0	-7.28202	-10.0099	0.2	25.0217	-0.61084	0.791504	0.0201721	201	255
[21]	9826	7	0	-7.28883	-9.9799	0.2	25.0472	-0.0437317	0.993164	-0.107178	201	255
[22]	9837	7	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[23]	9978	7	0	-7.37187	-9.9476	0.2	25.0295	-0.0575256	0.97168	-0.228394	201	255
[24]	10121	8	0	-6.9835	-10.0314	0.2	25.038	-0.245239	0.314941	0.916504	201	255
[25]	10031	8	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[26]	10052	8	0	-6.97251	-9.97143	0.2	25.0653	-0.061554	0.790039	0.609863	201	255
[27]	10031	9	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[28]	10121	9	0	-6.9835	-10.0314	0.2	25.038	-0.245239	0.314941	0.916504	201	255
[29]	10201	9	0	-7.04486	-10.0768	0.2	25.0175	-0.802246	0.557129	0.215088	201	255
[30]	10201	10	0	-7.04486	-10.0768	0.2	25.0175	-0.802246	0.557129	0.215088	201	255
[31]	9839	10	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[32]	10031	10	0	-7.04321	-9.9928	0.2	25.0535	-0.604492	0.759277	0.239746	201	255
[33]	9839	11	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[34]	10201	11	0	-7.04486	-10.0768	0.2	25.0175	-0.802246	0.557129	0.215088	201	255
[35]	9985	11	0	-7.16489	-10.0596	0.2	25.0138	-0.729492	0.669434	0.138184	201	255
[36]	9839	12	0	-7.16482	-10.0079	0.2	25.0434	-0.664551	0.728027	0.169312	201	255
[37]	9985	12	0	-7.16489	-10.0596	0.2	25.0138	-0.729492	0.669434	0.138184	201	255
[38]	9984	12	0	-7.28202	-10.0099	0.2	25.0217	-0.61084	0.791504	0.0201721	201	255
[39]	9985	13	0	-7.16489	-10.0596	0.2	25.0138	-0.729492	0.669434	0.138184	201	255
[40]	9838	13	0	-7.29023	-10.0927	0.2	24.987	-0.905762	0.401367	0.136963	201	255
[41]	9984	13	0	-7.28202	-10.0099	0.2	25.0217	-0.61084	0.791504	0.0201721	201	255
[42]	9838	14	0	-7.29023	-10.0927	0.2	24.987	-0.905762	0.401367	0.136963	201	255
[43]	9837	14	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[44]	9984	14	0	-7.28202	-10.0099	0.2	25.0217	-0.61084	0.791504	0.0201721	201	255
[45]	9837	15	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[46]	9838	15	0	-7.29023	-10.0927	0.2	24.987	-0.905762	0.401367	0.136963	201	255
[47]	9941	15	0	-7.38844	-10.0462	0.2	24.9774	-0.941895	0.266357	0.20459	201	255
[48]	9941	16	0	-7.38844	-10.0462	0.2	24.9774	-0.941895	0.266357	0.20459	201	255
[49]	9942	16	0	-7.45921	-9.94511	0.2	24.9881	-0.733398	0.668457	-0.123962	201	255
[50]	9837	16	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[51]	9844	17	0	-7.45489	-9.91581	0.2	25.012	-0.0692139	0.944824	-0.320068	201	255
[52]	9837	17	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[53]	9942	17	0	-7.45921	-9.94511	0.2	24.9881	-0.733398	0.668457	-0.123962	201	255
[54]	9837	18	0	-7.37247	-9.97635	0.2	25.0048	-0.663574	0.744629	-0.0720215	201	255
[55]	9844	18	0	-7.45489	-9.91581	0.2	25.012	-0.0692139	0.944824	-0.320068	201	255
[56]	9978	18	0	-7.37187	-9.9476	0.2	25.0295	-0.0575256	0.97168	-0.228394	201	255
[57]	10201	19	0	-7.04486	-10.0768	0.2	25.0175	-0.802246	0.557129	0.215088	201	255
[58]	10121	19	0	-6.9835	-10.0314	0.2	25.038	-0.245239	0.314941	0.916504	201	255
[59]	10123	19	0	-6.96211	-10.1082	0.2	25.0192	-0.637207	0.0541077	0.769043	201	255
[60]	10066	20	0	-6.96989	-10.1789	0.2	24.9983	-0.796875	0.353271	0.490234	201	255
[61]	10201	20	0	-7.04486	-10.0768	0.2	25.0175	-0.802246	0.557129	0.215088	201	255
[62]	10123	20	0	-6.96211	-10.1082	0.2	25.0192	-0.637207	0.0541077	0.769043	201	255
