"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1562]",,"1640","520","0","-5.39287","-9.47925","0.2","25.982","0.782715","-0.408691","0.469727","201","255"
"[1563]",,"1675","521","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
"[1564]",,"1813","521","0","-5.42053","-9.38279","0.2","25.9602","0.750977","-0.0759888","0.655762","201","255"
"[1565]",,"1677","521","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1566]",,"1372","522","0","-5.42025","-9.31476","0.2","25.9284","0.475342","0.463135","0.748047","201","255"
"[1567]",,"1677","522","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1568]",,"1813","522","0","-5.42053","-9.38279","0.2","25.9602","0.750977","-0.0759888","0.655762","201","255"
"[1569]",,"1677","523","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1570]",,"1372","523","0","-5.42025","-9.31476","0.2","25.9284","0.475342","0.463135","0.748047","201","255"
"[1571]",,"1834","523","0","-5.47367","-9.39042","0.2","25.8448","0.629883","0.529297","0.568359","201","255"
"[1572]",,"1834","524","0","-5.47367","-9.39042","0.2","25.8448","0.629883","0.529297","0.568359","201","255"
"[1573]",,"1842","524","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
"[1574]",,"1677","524","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1575]",,"1842","525","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
"[1576]",,"1834","525","0","-5.47367","-9.39042","0.2","25.8448","0.629883","0.529297","0.568359","201","255"
"[1577]",,"2520","525","0","-5.54766","-9.43813","0.2","25.7761","0.57959","0.664551","0.471436","201","255"
