"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1798]",,"1717","599","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1799]",,"1768","599","0","-5.12733","-8.73935","0.2","26.3547","0.945312","-0.302002","-0.122314","201","255"
"[1800]",,"1717","600","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1801]",,"1805","600","0","-5.17245","-8.59169","0.2","26.3059","0.856934","0.352295","0.376221","201","255"
"[1802]",,"1768","600","0","-5.12733","-8.73935","0.2","26.3547","0.945312","-0.302002","-0.122314","201","255"
"[1803]",,"1805","601","0","-5.17245","-8.59169","0.2","26.3059","0.856934","0.352295","0.376221","201","255"
"[1804]",,"1717","601","0","-5.03195","-8.59235","0.2","26.3566","0.958984","-0.196899","-0.2052","201","255"
"[1805]",,"1558","601","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1806]",,"1643","602","0","-5.15545","-8.51897","0.2","26.2398","0.393799","0.740234","0.544434","201","255"
"[1807]",,"1805","602","0","-5.17245","-8.59169","0.2","26.3059","0.856934","0.352295","0.376221","201","255"
"[1808]",,"1558","602","0","-5.07033","-8.45082","0.2","26.3298","0.867676","0.48291","0.119812","201","255"
"[1809]",,"1805","603","0","-5.17245","-8.59169","0.2","26.3059","0.856934","0.352295","0.376221","201","255"
"[1810]",,"1643","603","0","-5.15545","-8.51897","0.2","26.2398","0.393799","0.740234","0.544434","201","255"
"[1811]",,"1835","603","0","-5.2129","-8.60541","0.2","26.2181","0.406738","0.662598","0.628906","201","255"
"[1812]",,"2503","604","0","-4.94194","-8.84849","0.2","26.2954","0.923828","-0.275635","-0.266357","201","255"
"[1813]",,"1745","604","0","-4.96614","-8.76954","0.2","26.3226","0.727539","-0.435059","-0.529785","201","255"
"[1814]",,"2211","604","0","-5.01435","-8.90904","0.2","26.3028","0.928223","-0.338135","-0.15686","201","255"
