"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[31410]",,"3002","10470","0","-6.63096","-20.0817","0.2","23.7821","2.09375","0.221436","-6.53289","-19.849","23.3828","-0.635742","0.76709","-0.0840454","1","-0.280762","-0.319824","-0.905273","-0.837891","196727"
"[31411]",,"3325","10470","0","-6.5358","-20.4346","0.2","23.6856","2.10547","0.206909","-6.43471","-20.1781","23.2628","-0.494873","0.249756","-0.832031","1","0.672363","-0.499268","-0.546387","0.0487671","196727"
"[31412]",,"2995","10470","0","-6.51678","-20.4106","0.2","23.7405","2.10938","0.211182","-6.41492","-20.1628","23.3185","-0.681641","0.681152","-0.268311","1","-0.130249","-0.470947","-0.872559","-0.745605","196727"
"[31413]",,"3003","10471","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31414]",,"3002","10471","0","-6.63096","-20.0817","0.2","23.7821","2.09375","0.221436","-6.53289","-19.849","23.3828","-0.635742","0.76709","-0.0840454","1","-0.280762","-0.319824","-0.905273","-0.837891","196727"
"[31415]",,"2995","10471","0","-6.51678","-20.4106","0.2","23.7405","2.10938","0.211182","-6.41492","-20.1628","23.3185","-0.681641","0.681152","-0.268311","1","-0.130249","-0.470947","-0.872559","-0.745605","196727"
"[31416]",,"3002","10472","0","-6.63096","-20.0817","0.2","23.7821","2.09375","0.221436","-6.53289","-19.849","23.3828","-0.635742","0.76709","-0.0840454","1","-0.280762","-0.319824","-0.905273","-0.837891","196727"
"[31417]",,"3003","10472","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
"[31418]",,"2996","10472","0","-6.54207","-19.9499","0.2","23.8121","2.0957","0.22876","-6.4456","-19.717","23.4195","-0.253418","0.94873","0.187988","1","-0.765137","-0.0838623","-0.638672","-0.987793","196727"
"[31419]",,"2988","10473","0","-6.31174","-20.2194","0.2","23.7586","2.11523","0.224487","-6.21318","-19.9631","23.3457","-0.185181","0.954102","0.234741","1","-0.867676","-0.0478516","-0.494629","-0.969238","196727"
"[31420]",,"2996","10473","0","-6.54207","-19.9499","0.2","23.8121","2.0957","0.22876","-6.4456","-19.717","23.4195","-0.253418","0.94873","0.187988","1","-0.765137","-0.0838623","-0.638672","-0.987793","196727"
"[31421]",,"3003","10473","0","-6.42979","-20.34","0.2","23.7825","2.11328","0.216919","-6.32823","-20.0947","23.3633","-0.375","0.917969","0.129028","1","-0.710449","-0.192993","-0.676758","-0.995605","196727"
