"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD_C0","TEXCOORD_C1","TEXCOORD1_C0","TEXCOORD1_C1","TEXCOORD1_C2","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD2_C3","TEXCOORD3_C0","TEXCOORD3_C1","TEXCOORD3_C2","TEXCOORD3_C3","TEXCOORD4"
"[0]",,"362","0","0","-7.10618","-6.56553","0.2","25.8764","0.869629","0.581543","-7.12107","-6.65921","25.8829","0.238281","-0.739746","-0.629395","1","0.953613","0.301025","0.00874329","0.363525","196724"
"[1]",,"352","0","0","-6.96606","-6.7063","0.2","25.8061","0.898438","0.56543","-6.98086","-6.79958","25.8124","0.464111","-0.560059","-0.686035","1","0.759277","-0.146362","0.634277","-0.114807","196724"
"[2]",,"460","0","0","-7.05584","-6.65892","0.2","25.8352","0.883789","0.582031","-7.07069","-6.75229","25.8414","0.327148","-0.774414","-0.541504","1","0.930664","0.16394","0.32666","0.215454","196724"
"[3]",,"352","1","0","-6.96606","-6.7063","0.2","25.8061","0.898438","0.56543","-6.98086","-6.79958","25.8124","0.464111","-0.560059","-0.686035","1","0.759277","-0.146362","0.634277","-0.114807","196724"
"[4]",,"362","1","0","-7.10618","-6.56553","0.2","25.8764","0.869629","0.581543","-7.12107","-6.65921","25.8829","0.238281","-0.739746","-0.629395","1","0.953613","0.301025","0.00874329","0.363525","196724"
"[5]",,"458","1","0","-7.0012","-6.56475","0.2","25.8229","0.881836","0.564453","-7.01594","-6.65812","25.8296","0.561035","-0.611816","-0.558105","1","0.825684","0.355957","0.437988","0.396484","196724"
"[6]",,"455","2","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[7]",,"352","2","0","-6.96606","-6.7063","0.2","25.8061","0.898438","0.56543","-6.98086","-6.79958","25.8124","0.464111","-0.560059","-0.686035","1","0.759277","-0.146362","0.634277","-0.114807","196724"
"[8]",,"458","2","0","-7.0012","-6.56475","0.2","25.8229","0.881836","0.564453","-7.01594","-6.65812","25.8296","0.561035","-0.611816","-0.558105","1","0.825684","0.355957","0.437988","0.396484","196724"
"[9]",,"352","3","0","-6.96606","-6.7063","0.2","25.8061","0.898438","0.56543","-6.98086","-6.79958","25.8124","0.464111","-0.560059","-0.686035","1","0.759277","-0.146362","0.634277","-0.114807","196724"
"[10]",,"455","3","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[11]",,"459","3","0","-6.89877","-6.67718","0.2","25.8065","0.903809","0.546875","-6.91355","-6.77063","25.813","0.876953","-0.332275","-0.346436","1","0.308594","-0.150879","0.939453","-0.158569","196724"
"[12]",,"455","4","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[13]",,"360","4","0","-6.83976","-6.61312","0.2","25.8637","0.902344","0.527832","-6.85466","-6.70733","25.8706","0.956055","-0.205322","0.208618","1","-0.24231","-0.162476","0.956543","-0.20752","196724"
"[14]",,"459","4","0","-6.89877","-6.67718","0.2","25.8065","0.903809","0.546875","-6.91355","-6.77063","25.813","0.876953","-0.332275","-0.346436","1","0.308594","-0.150879","0.939453","-0.158569","196724"
"[15]",,"360","5","0","-6.83976","-6.61312","0.2","25.8637","0.902344","0.527832","-6.85466","-6.70733","25.8706","0.956055","-0.205322","0.208618","1","-0.24231","-0.162476","0.956543","-0.20752","196724"
"[16]",,"455","5","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[17]",,"346","5","0","-6.85942","-6.50322","0.2","25.8527","0.89209","0.527832","-6.87419","-6.59726","25.86","0.996094","-0.0809326","0.0392151","1","0.00674438","0.561035","0.827637","0.534668","196724"
"[18]",,"346","6","0","-6.85942","-6.50322","0.2","25.8527","0.89209","0.527832","-6.87419","-6.59726","25.86","0.996094","-0.0809326","0.0392151","1","0.00674438","0.561035","0.827637","0.534668","196724"
"[19]",,"363","6","0","-6.81832","-6.53781","0.2","25.92","0.894531","0.515625","-6.83331","-6.63266","25.9273","0.726562","0.369873","0.578613","1","-0.669434","0.19165","0.717773","0.124573","196724"
"[20]",,"360","6","0","-6.83976","-6.61312","0.2","25.8637","0.902344","0.527832","-6.85466","-6.70733","25.8706","0.956055","-0.205322","0.208618","1","-0.24231","-0.162476","0.956543","-0.20752","196724"
"[21]",,"118","7","0","-7.10971","-6.49819","0.2","25.9112","0.860352","0.575195","-7.12465","-6.59223","25.9179","0.551758","-0.722656","-0.415771","1","0.678223","0.679688","-0.279297","0.730957","196724"
"[22]",,"458","7","0","-7.0012","-6.56475","0.2","25.8229","0.881836","0.564453","-7.01594","-6.65812","25.8296","0.561035","-0.611816","-0.558105","1","0.825684","0.355957","0.437988","0.396484","196724"
"[23]",,"362","7","0","-7.10618","-6.56553","0.2","25.8764","0.869629","0.581543","-7.12107","-6.65921","25.8829","0.238281","-0.739746","-0.629395","1","0.953613","0.301025","0.00874329","0.363525","196724"
"[24]",,"458","8","0","-7.0012","-6.56475","0.2","25.8229","0.881836","0.564453","-7.01594","-6.65812","25.8296","0.561035","-0.611816","-0.558105","1","0.825684","0.355957","0.437988","0.396484","196724"
"[25]",,"118","8","0","-7.10971","-6.49819","0.2","25.9112","0.860352","0.575195","-7.12465","-6.59223","25.9179","0.551758","-0.722656","-0.415771","1","0.678223","0.679688","-0.279297","0.730957","196724"
"[26]",,"341","8","0","-7.02275","-6.44735","0.2","25.8741","0.869141","0.554688","-7.03755","-6.54121","25.8812","0.775391","-0.476562","-0.414551","1","0.563965","0.816895","0.120483","0.848633","196724"
"[27]",,"341","9","0","-7.02275","-6.44735","0.2","25.8741","0.869141","0.554688","-7.03755","-6.54121","25.8812","0.775391","-0.476562","-0.414551","1","0.563965","0.816895","0.120483","0.848633","196724"
"[28]",,"455","9","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[29]",,"458","9","0","-7.0012","-6.56475","0.2","25.8229","0.881836","0.564453","-7.01594","-6.65812","25.8296","0.561035","-0.611816","-0.558105","1","0.825684","0.355957","0.437988","0.396484","196724"
"[30]",,"455","10","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[31]",,"341","10","0","-7.02275","-6.44735","0.2","25.8741","0.869141","0.554688","-7.03755","-6.54121","25.8812","0.775391","-0.476562","-0.414551","1","0.563965","0.816895","0.120483","0.848633","196724"
"[32]",,"343","10","0","-6.95212","-6.42429","0.2","25.8727","0.874512","0.538574","-6.96689","-6.51831","25.8801","0.939941","-0.14917","-0.307617","1","0.243408","0.918457","0.311279","0.922852","196724"
"[33]",,"343","11","0","-6.95212","-6.42429","0.2","25.8727","0.874512","0.538574","-6.96689","-6.51831","25.8801","0.939941","-0.14917","-0.307617","1","0.243408","0.918457","0.311279","0.922852","196724"
"[34]",,"346","11","0","-6.85942","-6.50322","0.2","25.8527","0.89209","0.527832","-6.87419","-6.59726","25.86","0.996094","-0.0809326","0.0392151","1","0.00674438","0.561035","0.827637","0.534668","196724"
"[35]",,"455","11","0","-6.9143","-6.52591","0.2","25.8261","0.890137","0.541992","-6.92901","-6.61953","25.8331","0.865234","-0.368652","-0.340332","1","0.491211","0.480469","0.726074","0.489746","196724"
"[36]",,"346","12","0","-6.85942","-6.50322","0.2","25.8527","0.89209","0.527832","-6.87419","-6.59726","25.86","0.996094","-0.0809326","0.0392151","1","0.00674438","0.561035","0.827637","0.534668","196724"
"[37]",,"343","12","0","-6.95212","-6.42429","0.2","25.8727","0.874512","0.538574","-6.96689","-6.51831","25.8801","0.939941","-0.14917","-0.307617","1","0.243408","0.918457","0.311279","0.922852","196724"
"[38]",,"457","12","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[39]",,"457","13","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[40]",,"363","13","0","-6.81832","-6.53781","0.2","25.92","0.894531","0.515625","-6.83331","-6.63266","25.9273","0.726562","0.369873","0.578613","1","-0.669434","0.19165","0.717773","0.124573","196724"
"[41]",,"346","13","0","-6.85942","-6.50322","0.2","25.8527","0.89209","0.527832","-6.87419","-6.59726","25.86","0.996094","-0.0809326","0.0392151","1","0.00674438","0.561035","0.827637","0.534668","196724"
"[42]",,"363","14","0","-6.81832","-6.53781","0.2","25.92","0.894531","0.515625","-6.83331","-6.63266","25.9273","0.726562","0.369873","0.578613","1","-0.669434","0.19165","0.717773","0.124573","196724"
"[43]",,"457","14","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[44]",,"264","14","0","-6.84122","-6.44554","0.2","25.9459","0.881836","0.51416","-6.85622","-6.54061","25.9534","0.859375","0.454102","0.235596","1","-0.504883","0.67041","0.544434","0.618164","196724"
"[45]",,"457","15","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[46]",,"345","15","0","-6.89165","-6.39765","0.2","25.9829","0.868164","0.519531","-6.90673","-6.49298","25.9905","0.898926","0.436768","-0.0387573","1","-0.432129","0.896973","0.0928345","0.863281","196724"
"[47]",,"264","15","0","-6.84122","-6.44554","0.2","25.9459","0.881836","0.51416","-6.85622","-6.54061","25.9534","0.859375","0.454102","0.235596","1","-0.504883","0.67041","0.544434","0.618164","196724"
"[48]",,"345","16","0","-6.89165","-6.39765","0.2","25.9829","0.868164","0.519531","-6.90673","-6.49298","25.9905","0.898926","0.436768","-0.0387573","1","-0.432129","0.896973","0.0928345","0.863281","196724"
"[49]",,"457","16","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[50]",,"344","16","0","-6.9528","-6.39518","0.2","26.0039","0.85791","0.530273","-6.96793","-6.49058","26.0113","0.970703","0.141846","-0.194702","1","-0.170044","0.974121","-0.14978","0.964355","196724"
"[51]",,"457","17","0","-6.89418","-6.44389","0.2","25.9225","0.874512","0.527832","-6.90911","-6.53859","25.9299","0.958984","0.123474","-0.256348","1","-0.0214844","0.931152","0.364502","0.916016","196724"
"[52]",,"353","17","0","-6.99384","-6.40474","0.2","26.0032","0.854004","0.540039","-7.00898","-6.50003","26.0105","0.89209","-0.0966797","-0.441895","1","-0.0435791","0.958496","-0.28125","0.961914","196724"
"[53]",,"344","17","0","-6.9528","-6.39518","0.2","26.0039","0.85791","0.530273","-6.96793","-6.49058","26.0113","0.970703","0.141846","-0.194702","1","-0.170044","0.974121","-0.14978","0.964355","196724"
