submesh,gpu_id,candidate,vertex_id,nearest_distance,reforward_error,world_x,world_y,world_z,local_x,local_y,local_z
Wing,GpuId7157,glb_primitive_seg_z16,5253,1.793393054,0.000000000,-9.982195830,-22.408832021,32.203695283,-5.435644694,1.140358621,0.162332229
Wing,GpuId7157,glb_primitive_seg_z16,4149,1.792746941,0.000000000,-9.675099168,-20.283997900,30.550464978,-4.615286723,1.008491719,-0.168658578
Wing,GpuId7157,glb_primitive_seg_z16,4768,1.791849025,0.000000000,-10.534446049,-25.379548030,35.469709714,-6.920923919,1.098140597,1.104369883
Wing,GpuId7157,glb_primitive_seg_z16,32,1.791726329,0.000000000,-9.675099168,-20.283997900,30.550464978,-4.617426470,1.013682353,-0.181023582
Wing,GpuId7157,glb_primitive_seg_z16,786,1.791726329,0.000000000,-9.675099168,-20.283997900,30.550464978,-4.617426470,1.013682353,-0.181023582
Wing,GpuId7157,glb_primitive_seg_z16,430,1.791276750,0.000000000,-9.702585659,-17.967591906,30.496998505,-3.794589215,1.275443520,0.023246138
Wing,GpuId7157,glb_primitive_seg_z16,4180,1.790988863,0.000000000,-10.603115557,-15.972279300,30.465123444,-3.320690801,1.743107167,-0.300139681
Wing,GpuId7157,glb_primitive_seg_z16,134,1.789982241,0.000000000,-10.445990751,-19.723000698,38.146885941,-5.148399918,2.056018667,3.228443997
Wing,GpuId7157,glb_primitive_seg_z16,2655,1.789982241,0.000000000,-10.445990751,-19.723000698,38.146885941,-5.148399918,2.056018667,3.228443997
Wing,GpuId7157,glb_primitive_seg_z16,3130,1.789508086,0.000000000,-10.523633132,-25.985749014,35.412148245,-7.040870451,0.990902064,1.007356037
Wing,GpuId7157,glb_primitive_seg_z16,133,1.788247112,0.000000000,-10.445990751,-19.723000698,38.146885941,-5.152937844,2.057327807,3.228585363
Wing,GpuId7157,glb_primitive_seg_z16,906,1.787791942,0.000000000,-10.523869907,-25.299034352,34.588882802,-6.695135393,1.113112352,0.824273630
Wing,GpuId7157,glb_primitive_seg_z16,637,1.787063278,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
Wing,GpuId7157,glb_primitive_seg_z16,766,1.787063278,0.000000000,-10.506143264,-26.072847888,36.593082008,-7.327764524,0.975508601,1.503307784
