submesh,gpu_id,vertex_id,error_exact,error_diag_block0,late_factor_6bit,active_influences,local_x,local_y,local_z,pred_exact_x,pred_exact_y,pred_exact_z,pix_x,pix_y,pix_z
Head,GpuId7158,4415,0.528235081,0.416463169,63,6,-0.041276445,1.295079807,-2.936599206,-10.880668654,-10.080464461,27.536690602,-10.882300000,-10.608200000,27.559600000
Head,GpuId7158,4469,0.528235081,0.416463169,63,6,-0.041276445,1.295079807,-2.936599206,-10.880668654,-10.080464461,27.536690602,-10.882300000,-10.608200000,27.559600000
Head,GpuId7158,4336,0.528106658,0.416330855,63,6,-0.045640283,1.304161754,-2.939044612,-10.887826891,-10.051928260,27.531910480,-10.889700000,-10.579500000,27.555600000
Head,GpuId7158,4485,0.528009919,0.416231261,63,6,-0.040858631,1.296359813,-2.971057200,-10.937804705,-10.083528110,27.556937479,-10.939600000,-10.611000000,27.580700000
Head,GpuId7158,4484,0.527919426,0.416141799,63,6,-0.034405721,1.288009298,-2.996067035,-10.976657245,-10.119210090,27.576225306,-10.978400000,-10.646600000,27.599800000
Head,GpuId7158,4960,0.527899463,0.416140395,63,6,0.008954116,1.260092977,-3.031414267,-11.035568986,-10.282913237,27.584855448,-11.036600000,-10.810400000,27.605700000
Head,GpuId7158,4467,0.527845614,0.416078260,63,6,0.008443454,1.276245433,-3.045086310,-11.066166313,-10.250414630,27.574202604,-11.067500000,-10.777800000,27.596200000
Head,GpuId7158,4482,0.527776937,0.416005530,63,6,-0.034452145,1.289594067,-2.968167175,-10.931870596,-10.112029763,27.556243522,-10.933600000,-10.639300000,27.579300000
Head,GpuId7158,4483,0.527776937,0.416005530,63,6,-0.034452145,1.289594067,-2.968167175,-10.931870596,-10.112029763,27.556243522,-10.933600000,-10.639300000,27.579300000
Head,GpuId7158,4273,0.527708045,0.415941896,63,6,-0.009986798,1.268504445,-3.017964534,-11.011112205,-10.219444910,27.587078155,-11.012400000,-10.746700000,27.608900000
Head,GpuId7158,4481,0.527701629,0.415929780,63,6,-0.028138507,1.281670220,-2.993065854,-10.970713848,-10.146494136,27.575086192,-10.972300000,-10.673700000,27.597900000
