local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
4258,12764,58986,0.006894302,1.269675808,0.550675755,0.961110303,2.589017934,1.398142012,1.835590062,7c40c6344d3a9e3852690a424d4401054c28e104b6310f0900000000ffffffffc35b6e5bff3b280a,df7bf96a1c683b5587b0812c4a5372d3a64e2d081034000000000000ff00000000000000ffffffff
4259,12765,58987,0.004007113,1.295444581,0.542943267,0.932112882,2.610888109,1.302389237,1.780036566,4e40d535e2390e38d971e9005140d104524c50019f3c140e01010000ffffffffa76166547f3fb010,117adf6bef62e766a4af4b291a53c3d29f563e5a1034000000000000ff00000000000000ffffffff
4260,12766,58988,0.006392182,1.274715457,0.549302696,0.996321457,2.635801092,1.423435198,1.896476128,7440fb343a3a8438c11159404d4401054c382105a644110400000000ffffffffd26ad44f5353b80d,107ee56c7a69e7531eb0902da653a2d385f63e511034000000000000ff00000000000000ffffffff
4261,12767,58989,0.013233565,1.252845282,0.555373061,0.988162010,2.623629864,1.438322044,1.899772289,e14015348e3acb390ee207004c34a1044f40e1048a4f1a0b02000000ffffffffb66e105eda4c900e,8e7d656c486a9d4d5ab0ba2d9453c0d3a1c6fd091034000000000000ff00000000000000ffffffff
4262,12768,58990,0.013923980,1.203589842,0.562744218,0.919183296,2.557353723,1.358323311,1.812489218,ec400f32f43aed39c62159404c28d1044b3c010074661f0601000000fffffeff226bbd509656280f,4379ac69f565eb5fb1b0522afc521ad38826bc441034000000000000ff00000000000000ffffffff
4263,12769,58991,0.014049510,1.256363527,0.554361334,0.533680785,2.658622145,0.880065301,1.530499581,ee403a34803af139014218004c34a1044f40e104a32b1f1201000000ffffffff9c1e1766382abdc6,4561d56d1b4c40de57ba6c3a1a5071cea0eb1e301034000000000000eb14000000000000ffffffff
4264,12770,58992,0.005450707,1.432751249,0.560648497,0.898219792,2.555642144,1.380653581,1.652370702,6540793bd73acb2a666906fe42fc0004440c5104a545100500000000ffffffff731dd35f9c29d5c7,f5779a692a67b1842fa8862ecf5251d3e415f9031034000000000000ff00000000000000ffffffff
4265,12771,58993,0.006015592,1.433987390,0.558191445,1.018665790,2.660428812,1.471419985,1.834013455,6e40863bb53acc298868a6f542fc000443100100e712050100000000ffffffff9d14f1646172e8ea,747fe86d126c974c02b0bb2ef553eed3662a1f521000000000000000ff00000000000000ffffffff
4266,12772,58994,0.020953658,1.365999669,0.490116642,0.943912698,2.581886354,1.416714437,1.785725986,5c41bb380737e0345a5269bf3cf4e0033f180100ac3d120400000000ffffffff3e579360b34da819,cd7aae6a1d6941868daa2c2f2553a2d334568a041034000000000000ff00000000000000ffffffff
4267,12773,58995,0.006266652,1.349929845,0.525816167,0.919183296,2.557353723,1.358323311,1.727529266,72401238f53878388cab830d504451014d4831019a321a0d09030000fffffeff9b56e55f544af805,4379ac69f565c18f93a6342ffc521ad3f426bc441034000000000000ff00000000000000ffffffff
