local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
2460,8230,54452,1.207516167,1.543582448,3.000738399,0.000003566,1.017423267,-2.878472660,6.024952518,58baed351a52c64e2a341e1e0d10000113000000b24d000000000000ffffffff126f5155662320c9,d83fb41043028d3d5c3d792b0000e759290228000614500200000000f00f000000000000ffffffff
2461,8231,54453,1.171783651,1.596259104,2.947236112,0.000003566,0.797219382,-2.326190981,5.460821032,b8b6a7396051d84d6edbdb340d100001174c8001d625040000000000ffffffff796dd9547920d0ee,d83f2001c30928425f3d05310000175914d597430518700000000000a34a120000000000fffffaff
2462,8232,54454,1.171783651,1.597197787,2.936017890,0.195261742,1.989677528,-1.706599972,4.760413428,b8b6b8393951664edb2ebd750d100001135c3000ca31030000000000ffffffffe26b9659bf2e500b,a7537c552d123abd313f7d35b2496857bf292c7b081ca00003309000773b1c1918000000ffffffff
2463,8233,54455,1.211135624,1.550263659,2.916457914,0.126107002,0.869277073,-2.083704806,5.161652552,b6ba6636f550f04a66f9db200d40700104600000e21a020100000000ffffffff5e66636ce85068e9,a34c39060e0ddc387a3d27325747a758fc01ff10051870000a0000009339330000000000fffff6ff
2464,8234,54456,1.210173003,1.602995532,2.892870884,0.224987498,0.964746610,-2.071911291,5.101667787,9dba213aa350c6cf7c679d6e1034700100000000f40b000000000000ffffffff00689a43a605a81f,ab56fa0c370d7817943d38328d4a9b5830a72a14051870000a203000983c2a0000000000fffff8ff
2465,8235,54457,1.018341760,1.507746861,2.918759088,0.073047297,0.831011954,-2.097224202,5.148945534,27a76433fd50b852b8e72e301310300014342000c42f060600000000ffffffff4c5dcf43d427e983,41478403df0c8a3f703d16324044b058791a5c05051870000a0000009339330000000000fffff6ff
2466,8236,54458,1.161618366,1.579141951,2.479810212,0.313240652,1.180643598,-1.826261003,4.406903106,b0b57138074bd64a82be5a0b0d60400017403001ae26161204000000ffffffff3f62ba554b57a938,9f5f401c8d10914ab83dc433904c2258be091d480728500006203000812d2c190b010000ffffffff
2467,8237,54459,1.161271823,1.544686780,2.859791512,0.167576743,1.103119462,-1.682725296,4.670853301,a7b501363050ddcd6c8d5e301740d0001d78000083670d0503000000ffffffffa96564535056bd3b,d850c4168012e34a943d4034e348d457ab59eb430728500003188000715a1d1007000000fffffdff
2468,8238,54460,1.165853902,1.544465914,2.883666189,0.107547657,1.053866237,-1.658562972,4.689621083,1eb6fd3583502dcd2e1dfe311740d0001d780002bb300d0403000000ffffffff8e5f96413b2c2186,c14a4813d4121829823d4e344446c75791360b06072850000318800074501c1906000000fffffbff
2469,8239,54461,1.193846939,1.491568391,2.811179219,0.220174390,1.079210666,-2.364735640,5.282818542,f5b83f32874f334e3875b65f183470010440000065642c0604000000ffffffff176fd75a152e4f7c,2e5613153d093245a23d6c30694a0f595ea53d4b05188000070000008177050100000000fffffeff
2470,8240,54462,1.211020110,1.543692881,2.943209058,0.235537832,1.105162477,-2.472603155,5.520407278,b3baef355251ee4a59a9fa7c0d40400017600000eb13010000000000fffffffffe60af68c54648d6,bd57e916c6075b38a43d9e2fba4a3659d5051a410614800007940000bd370b0000000000fffffeff
2471,8241,54463,1.201971466,1.604486380,2.847135057,0.208468911,1.081529764,-1.527971367,4.516866964,c8b93c3a045008cc81637f651034700100000000dc23000000000000ffffffff266c3961964683bc,fe543d159a144f5d983db9342e4a55573fe10a480328700005182000714e3f0100000000fffffcff
2472,8242,54464,1.197350882,1.595375638,2.932278483,0.163995791,0.991802755,-1.457497924,4.549973612,50b997392c5158c9e0eaae2d1034700100000000e51a000000000000ffffffff9d5c9b6dc74528ee,7b50e40e8f15eb5a873df734e148265742419c4b031ca000021460009239330200000000fffffbff
2473,8243,54465,1.203665680,1.610339342,2.779825728,0.104736802,1.046246343,-1.681287062,4.628971043,f4b9a63a1a4f7ecc61ab4c721034000000000000dc23000000000000ffffffffc85dc46d984690f1,784abe128512ef45803d41341a46dd57e531ec440728500003188000754f1e1707000000fffffbff
2474,8244,54466,1.204281758,1.609731959,2.800248644,0.113246377,1.036804301,-1.808714554,4.770864289,04ba9b3a614fc1cc3a77ac711034000000000000de21000000000000ffffffffed58a36e4b4500fd,554b1312ca109538853dd13399462558810ebe0c0714a000060c80007d392e1704000000fffff9ff
