local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
21,19875,66097,-0.064534773,1.740339034,-1.727457067,0.160992090,1.306843672,-2.872462874,1.244917223,2e38ef384a43f759d7642e6d677011066244d2056556400201000000ffffffffed3f6240ba198fb2,284b271d0d1b78011035be3b9a48e459d38d367a0694800000000000af50000000000000fffffcff
22,19876,66098,-0.065509673,1.737779022,-1.869957547,0.160713548,1.316778956,-2.857790438,1.097374968,1938c538483ee359d7a95d366770210661448200bc260c0b03030000ffffffff7740773bb715e2c7,224bca1d911b7802f534bf3b9848dd59ec51b6770694800000000000aa55000000000000fffffcff
23,19877,66099,-0.065277554,1.744727626,-1.828052180,0.138244424,1.209624169,-3.017408760,1.319971962,1e383739c13f1a5adf6cbb76617071065db01109ab2a180c03020000ffffffff3c44f137b61451c4,3e49ec16f515d0022436b43be647245ad085967d0694000000000000906f000000000000fffffdff
24,19878,66100,-0.062956364,1.747104780,-1.693221382,0.202634247,1.409366056,-2.732074336,1.124198059,50385e397e442a5ae680f9795d84c1065c7871066d5f290702010000ffffffff9642033bb1166aca,a94eb923fc1fd0fffd33b33bc949a559e195877f0694800000000000906b040000000000fffffbff
25,19879,66101,-0.064116959,1.743630478,-1.742907587,0.213915233,1.409670819,-2.707175656,1.057659615,37382539bf420e5ada143e6e617071065d44c2068e4e160c01000000ffffffffea4090388214a3c0,9c4fbe23dc2098ffb333a83b1c4a9a59175ae83f06948000000000009068070000000000fffffbff
26,19880,66102,-0.064395502,1.747226685,-1.807377383,0.238751970,1.400649825,-2.655710974,0.965237686,313860397b402c5aff88cd736174c1065c9c2109923b2b0502010000ffffffff2442483a8e15d0cc,b3512a23ab22c0ff2633923bd24a8359122a683f06948000000000008f60110000000000fffffcff
27,19881,66103,-0.064395502,1.745215247,-1.760025429,0.221946551,1.404611748,-2.683833143,1.025389296,31383f3925421d5adbfcdd6d6174c10567b01109a129260905010000ffffffff4144ce38831554c7,49506b23ae2180ff7033a03b564a90590d06683f069480000000000090650a0000000000fffffcff
28,19882,66104,-0.063095635,1.745763821,-1.692887918,0.158670900,1.344939088,-2.826667088,1.222822992,4d38483981441f5af6d4e87a6174c1056c9ce1057e5b180a03010000ffffffffa240ce390f14b5b7,f64a981fa91c6003ba34c63b8848cf59c2d9957906948000000000009c62000000000000fffffbff
29,19883,66105,-0.065138283,1.747592401,-1.818048246,0.158253086,1.354630562,-2.805769982,1.086239816,213866391b40305ab6652e3361b0d1055c9c21099f2d2c0302010000ffffffff0c44343ab2162aca,ed4a3720651dc8049734ca3b8548c659bd99657a06948000000000009965010000000000fffffbff
30,19884,66106,-0.063374178,1.743874288,-1.696889491,0.161688447,1.255094858,-2.952272035,1.365849131,473829395d440f5acbe8c8786170d10567b01109824f210c01000000ffffffffd9509d25a91d8acb,374bd6193f187802a135b23b9f48075ad685b67c0694800000000000a25d000000000000fffffdff
31,19885,66107,-0.042483464,1.747348590,-1.521931804,0.165866590,1.372916362,-2.782649779,1.331547615,093a6239834ace598ac4af5872d0c1077938b207b42b0f0707030000fffffdff7d505924fd1dc4dd,914b6321351e28046a34c93bbd48bc59a57165790694800000000000936b010000000000fffffbff
32,19886,66108,-0.041647836,1.747836212,-1.525377603,0.072276191,1.138065739,-3.203815394,1.789399936,1b3a6a39644acb59e708dd0772d091077be8c107872d2b1406060000fffffdffda50c724a11db8c6,b1435612680fe01b6a378f3b2144795a5883887325180000000000009e61000000000000fffffdff
33,19887,66109,-0.042204921,1.747897164,-1.521820649,0.106815505,1.117341832,-3.162910420,1.764364688,0f3a6b39844acf598df03f5e72d091077bf0e108af2d100908030000fffffdff834008395f14e3b6,99460211d81089b72837723b1a46665ac3bf3e5525180000000000008a75000000000000fffffeff
34,19888,66110,-0.064720469,1.747165732,-1.824606380,0.120185562,1.185060244,-3.158241918,1.459019043,2a385f39e03f2d5a6939af2d6174c1065c9c21099a332a0402010000ffffffff6850fe22f31c2cdc,b947591502115814fd369a3bde46645a5c1b8b742518000000000000a857000000000000fffffdff
35,19889,66111,-0.042344193,1.749664792,-1.526044532,0.145254419,1.222424229,-3.001624776,1.578135896,0c3a88395e4ada59c5286c0772d091077bf4a107722d212017070000fffffdffa55057243a1df9c2,d549be17831638030036b33b26481d5afe91567a0694000000000000936c000000000000fffffdff
36,19890,66112,-0.042437040,1.748567644,-1.523821436,0.152682229,1.236870011,-2.979060347,1.554871791,0a3a7639724ad55983dc9f6272d091077bf0d107a82c100c07060000fffffdff4050dd203a1b84d7,754aab184e175803d535b23b5d48135af575967a06940000000000009a65000000000000fffffdff
37,19891,66113,-0.043411940,1.752407661,-1.527378390,0.135551843,1.154949627,-3.120449279,1.710806534,f539b539524af3599f2c8d0a7dc8b10774e8c107573f312d07050000fffffdff1450cb226e1c34d4,04496b135612ddb1d136823bbf47535adb17ef552518000000000000916e000000000000fffffeff
38,19892,66114,-0.042622736,1.750335271,-1.529156867,0.130305953,1.167079208,-3.147015281,1.728455326,063a9339424ae15991d4fc0a72f441077be4a1076a3a2c1b0d070000fffffdff2f50be218d1b4cd2,934832146711bfc0f0368d3b72475f5af4f71e5d2518000000000000a758000000000000fffffdff
39,19893,66115,-0.043226245,1.751737182,-1.528045319,0.133277076,1.194264097,-3.131898225,1.707124427,f939aa394c4aee598ae87d0d7dc841077bf0a10754502c2306060000fffffdff5f50e423401c6abe,d348f015ef11e811d6369d3b9d47585a19477b7a2518000000000000a659000000000000fffffdff
40,19894,66116,-0.043272669,1.749786697,-1.526489151,0.149896800,1.164702054,-3.076765434,1.668231110,f8398a395a4ae25976fc4f2072f441077bf091078a2d290d0d060000fffffdff6c4f2120ff194ccb,394a0b14df136ab98a36823b48483f5ae1076f5825180000000000008778000000000000fffffeff
41,19895,66117,-0.044061874,1.753992431,-1.535270382,0.141261972,1.174027812,-3.127118568,1.704313508,e739cf390b4a035a63d4ee127dec410772f0a1075d492b2206050000fffffdff41464544c7206fc5,7f49a4141a121dbed0368f3b0948565af6cf2e5c2518000000000000a659000000000000fffffdff
42,19896,66118,-0.062724245,1.727173258,-1.654317195,0.107047624,1.160435367,-3.190699125,1.646354688,55381738dc457f5957dd197d0888010668707106f606020200000000ffffffffea3fcf46ee2105ba,9e46c513de0f88163137903b1e46735a7b570b712518000000000000ae51000000000000fffffdff
43,19897,66119,-0.065416826,1.724674198,-1.870735631,0.115914572,1.141600993,-3.181139811,1.445688263,1b38ee37413e6d5907fe0d350888810660000000ff00000000000000ffffffff6b4fa020d019d6c6,5d47901234104abf2a37843b9f466e5adee7fe592518000000000000a758000000000000fffffdff
44,19898,66120,-0.044433264,1.753870525,-1.535381537,0.056492096,1.102835098,-3.221600166,1.810349778,df39cd390a4a055a7de87f1b7dec410772f0a10762442a2308030000fffffdff6d410946732125a7,5d421410c80e68cd9b377b3b7542805ae78ffc5d2518000000000000a956000000000000fffffdff
45,19899,66121,-0.064906164,1.726137062,-1.787591825,0.432617796,1.099177938,-2.287232744,0.943530011,263806382d417559ac469c3508888106609c0100ff00000000000000ffffffff4943014619211eba,0362d80f9e2fa5ac89322c3a2d4ef058f2c65c4708185000070000008670090000000000fffffdff
46,19900,66122,-0.064349078,1.726685636,-1.715896966,0.274962541,1.119779939,-2.655933283,1.169245560,32380f38b243795922a65d3608888106609cc105fe00000000000000fffffffffe45ed430520ffc4,bf542a11a92283ba8634d53ada4b7f5982ff3e540614800025000000fb02020100000000ffffffff
47,19901,66123,-0.062863516,1.728331358,-1.659430317,0.256532289,1.095703636,-2.642261241,1.211688137,52382a38ae458a597881297e08880106689cc105f10a020100000000fffffffffa42c5406e1bcac8,32539f0f24233da39b34c13a544b7859c67aac450614800025000000fa04010000000000ffffffff
48,19902,66124,-0.064302654,1.735462820,-1.727901686,0.289214651,1.110697992,-2.570899846,1.107226929,33389f384643cc59fcd85c746788c1050884010981531e0c01000000ffffffffde3fbe44ce1d15c6,f2559510a62539a44134a83a214c5a59ae8aab4306205000251c0000f108060000000000fffffeff
49,19903,66125,-0.065695369,1.731318039,-1.874403740,0.223432113,1.086682641,-2.810216174,1.172558915,15385b38203ea75968259c79089c21065c401209f206060101000000fffffffffa413b3f131ab6c3,69500b0f3d1d85b15835013b624ac4598f5b4f540694500008000000fb03010000000000ffffffff
50,19904,66126,-0.064627621,1.737718069,-1.766472409,0.200080937,1.064556823,-2.886468381,1.333269538,2c38c438eb41e05927116b7a6770210661201009a23f120a01010000ffffffff5e3f3c43611cbbb3,724ea00d8f1ac9a6c5350e3bb749e75986837e4e0694500000000000f708000000000000ffffffff
51,19905,66127,-0.065695369,1.733451382,-1.912974463,0.179840157,1.053402485,-2.946047365,1.260949570,15387e38c53cbd593a0edd37089c21065c401209bc25160303010000fffffffffc43d53c1117c0bf,be4ce90c7718c1981a36173b2349025a368ffd480694500000000000f708000000000000ffffffff
52,19906,66128,-0.063977688,1.742472377,-1.698112194,0.160945667,1.036884313,-2.991398532,1.490313585,3a3812395244075a51fd0b7a617071065d442206745e280500000000ffffffffbe428d41491b0ac8,274bda0bdf1641966236183b9948165a212fad470694500000000000f708000000000000ffffffff
53,19907,66129,-0.064627621,1.735401868,-1.736905227,0.153425009,1.193349807,-3.109556106,1.491823657,2c389e38f542cd592fd94e6d6788c105088401098352181101000000ffffffff31443b3b4b175cd1,854ae115b8125816ae36993b62484e5a7bc76d752518000000000000a45b000000000000fffffdff
