local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
1576,4039,50261,-0.017216189,2.055768184,1.908790184,0.420117085,1.667153153,-1.756142803,3.711336125,f63c343512cec856ffc522480328700009088000bd3b050100000000fffffeffd71be31cee16c832,3166d0059204f53fd32ffb220000003ce3868e0f081cc0000a0c90009a2b2a0c04000000ffffffff
1577,4040,50262,-0.016553248,2.056248667,1.896285760,0.419785615,1.698576772,-1.697670412,3.637972203,063d433562cdb956e2f1114c0328700002248000be37070201000000fffffdfffe1c191e4f15682b,2966a509c907454d962f26290000003c37872f15081cc0000a0c9000723e231f0d000000ffffffff
1578,4041,50263,-0.016553248,2.053557960,1.891880792,0.419246976,1.664846833,-1.764313308,3.702536087,063def3424cd1a57a1c5b24a032870000814900087690e0000000000fffffdff7e165e22b8161b56,1c6688051f04bf62f92fc8200000003cd39ede52083070000a0c9000a12a260b03000000ffffffff
1579,4042,50264,-0.017340490,2.056088506,1.910637428,-0.406237705,1.717764079,-1.749109065,3.695869161,f33c3e352ccebc566092201e0328700009088000c336040200000000fffffeffd61f5f1df7132e38,4918fc0bf5049f43f238ef250000003c35b7506b083070000a0c9000af25200802000000ffffffff
1580,4043,50265,-0.016304646,2.051187575,1.883426097,-0.401555690,1.708795054,-1.784135662,3.703600985,0c3da534adcc6f57e459b0570a0c70000520600065593e0201000000fffffdff981b111f7915082f,ba18e40a0803fb3bdb3887200000003c67c75068083070000a0c9000c720130401000000ffffffff
1581,4044,50266,-0.016760417,2.053846250,1.895788425,-0.398862496,1.862485700,-1.530139550,3.452477856,013df8345bcd0e57982d115303287000082450008b680b0000000000fffffdff9416981eec17842e,fb18a21dff10dd40c438cc2f0000003c0733916e03288000091cc0007c52151308000000ffffffff
1582,4045,50267,-0.016967586,2.058170601,1.911347907,-0.405864801,1.793167951,-1.625485783,3.568005044,fc3c7f3536ce7a56e24133470328200007248000e810030201000000fffffeff63153520c2175428,52182e15c10b4b41dd38f52c0000003c06036272081ca0000330900064432e1c0d010000ffffffff
1583,4046,50268,-0.017133321,2.057946376,1.914474013,-0.416927613,2.017809990,-1.164882484,3.105460166,f83c783562ce8256ec92705903289000021c8000e514020202000000fffffeffa9169b1f3f18b76a,471793301425a94fd13814340000003cead2e1730344f0000e24a000e00b080804000000ffffffff
1584,4047,50269,-0.017050454,2.058747181,1.911418955,-0.414110118,2.018802989,-1.092768903,3.030576941,fa3c913537ce6456e552e41303282000091c8000ed0c030201000000fffffeff3a29180c970c8034,8b17b2300b29335ad93877340000003cb5c6a1330344f0000e244000de0d0a0901000000ffffffff
1585,4048,50270,-0.014937332,2.029982238,1.843639293,-0.335303118,1.918638201,-1.582075538,3.442463338,2d3d0f327dcaaf58c2bde24805187000082800009b42220000000000fffff8ffcd14c92010180547,f91e7b24240e874f7838552f0000003cbecec02d080ca0000724c0004b453d2c04030000ffffffff
