local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_len,pac_raw40_hex,runtime_raw40_hex
3371,16501,62723,-0.754273141,1.536601915,0.994561108,7.274269555,1.692991660,0.618389128,8.038871869,f2393539594bc659e294ae4e8ed4410772f041096c391d1d10100000fffffeff6c4d451c581540e7,5f7a9050ca4350107341e93bee368820f074fb444b28c1044d380100c43a020000000000ffffffff
3372,16502,62724,-0.785914156,1.543141042,0.895998217,7.096593081,1.699478474,0.391713919,7.900168631,b1392f3a5e49445acf14ad077bf441077f00e20773472c0b09050000fffffdffd74e6526bd13a1bf,f27888513c3fc8182a415123ef3ba83adf78ea454a2cc1044d380100ab53000000000000ffffffff
3373,16503,62725,-0.839947276,1.541597808,0.919521116,7.217802512,1.797199177,0.490471214,8.073211723,4239f439d7494b5aa0a0ff6696f081097dd0e1086f3833110d070000fffffeff184e401d4715c8d1,eb792060384115af6441d03b4037f624473c8e6e4b28c1044d380100a855020000000000ffffffff
3374,16504,62726,-0.790782005,1.542905633,0.907468060,6.370796855,1.766177562,0.056755613,7.215384522,a739263a9949435a91a04f577bf4410780fce10769562a0e04030000fffffdffdc4dd826721246c3,1f737e5b81381815e540cb2bad3bd839e062b6034a30b1044e340100f603020202000000ffffffff
3375,16505,62727,-0.852603682,1.541990156,0.903191170,5.921007645,1.776692477,0.643078451,6.782665716,2839033a83495b5a97809f669660c2077dd0c1096e571b0e0d050000fffffeffa04f3d30cd1bd2b9,836f105d4944500fdf40d4302e3bc6390e2a18004a30d1044b3801008c60110100000000ffffffff
3376,16506,62728,-0.815608033,1.536000316,0.931768576,0.545929220,1.590301221,-0.550368468,2.013321260,74391e39164ad75904c13c776424f208941c5209aa1817130f040000ffffffffa5431226c80a80e0,61443a414e2c877bfb41e53412389c3822b6284013103000147020008f351d1c01000000ffffffff
3377,16507,62729,-0.913938575,1.545207406,0.633747053,5.513568717,1.802692043,1.987382971,6.573543832,aa387e3a1944bd5a89c0ad5d8204320880d081095f312d2019090000fffffeff374ea91e581636cd,3e6cf2604c5fd19c2241bc394838db32eb01e87f4c28f1044d4001009d33290600000000ffffffff
3378,16508,62730,-0.787374511,1.542251721,0.909412102,4.995629626,1.760658539,1.770039160,5.850770660,ae390d3aa349345a8dd07f5a7dec41077c00e2078c3e280604030000fffffdfffd4e021e361731c5,1668ab5aee5a700aec403435203aea39258a17004c34f10450281105a430171301000000fffffeff
3379,16509,62731,-0.778125599,1.542068625,0.922437178,7.017733934,1.702564941,0.346223354,7.818772749,c139063ae6492a5a86f48f5d7dec410772f0e10784452b0504030000fffffdff9242f527a90a94d9,5078fe51523e2c224e41f33bc6379d1fe6ec59454a2ce1044d300100d02e000000000000ffffffff
3380,16510,62732,-0.923187487,1.544945841,0.566094418,3.536248615,1.832144268,0.549764472,4.468704505,9738743abd42bc5a7c200e61830422087460720973332a120f0f0000fffffeff77501622bd1722ce,605c5865694281a26a40273a8a3a2a320abef73f5140d1045254c0049337290a02000000ffffffff
