draw_vertex_id,stored_vertex_index,raw_u16_x,raw_u16_y,raw_u16_z,raw_u16_w,local_x,local_y,local_z,pix_world_x,pix_world_y,pix_world_z,pix_uv_u,pix_uv_v,pix_normal_x,pix_normal_y,pix_normal_z,pix_tangent_x,pix_tangent_y,pix_tangent_z,pix_tangent_w,pix_texcoord4,raw_hex_0_7,raw_hex_8_39
126,17244,14660,14563,19073,22984,-0.051628955,1.739607602,-1.522154113,-10.694800000,-10.705900000,26.952400000,0.246216000,0.948730000,-0.107910000,0.948242000,-0.298340000,0.964844000,0.172729000,0.199951000,0.807617000,196728,4439e338814ac859,77f4aa0b6318f2058b307208b218181508010000ffffffff59502134681cccd5
127,17245,14662,14570,19028,22986,-0.051536107,1.740034270,-1.527156080,-10.813800000,-10.725200000,27.089000000,0.282227000,0.956543000,-0.377686000,0.882812000,-0.280029000,0.913574000,0.302490000,-0.271484000,0.757324000,196728,4639ea38544aca59,53049c0e6318b2085f30720890351b1207060000ffffffffaf512e35991cacdd
128,17246,14656,14555,19143,22982,-0.051814650,1.739119980,-1.514373276,-11.163300000,-10.850700000,27.633400000,0.429199000,0.965332000,-0.852051000,0.416504000,0.317383000,0.485107000,0.854004000,0.188721000,0.973633000,196728,4039db38c74ac659,d0e84e51637cb1088630d208bd220e0706040000ffffffff4c512435b21c18e1
129,17247,14660,14555,19110,22981,-0.051628955,1.739119980,-1.518041385,-11.122900000,-10.889300000,27.593200000,0.416504000,0.965332000,-0.814941000,0.579590000,0.002061840,0.569824000,0.809082000,0.144653000,0.986816000,196728,4439db38a64ac559,ea5ca905637cb1088630d208bd19120e07020000ffffffffa04e552f3b19e6c3
130,17248,14651,14670,18879,23033,-0.052046769,1.746129537,-1.543718149,-10.883600000,-10.916000000,27.265900000,0.325195000,0.940430000,0.765625000,0.579102000,-0.279785000,0.647949000,-0.711426000,0.271484000,-0.014434800,196728,3b394e39bf49f959,7d8cee126478d1069550f205aa2e110d07020000ffffffff7d518a351b1d88e5
131,17249,14664,14546,19127,22976,-0.051443259,1.738571406,-1.516151753,-10.850300000,-10.872600000,27.209500000,0.311035000,0.942383000,0.686035000,0.658203000,-0.310303000,0.724609000,-0.654297000,0.218140000,0.064086900,196728,4839d238b74ac059,86cd9701632cf2058d18c208b21e120c09080000ffffffff8c4dfa2ef41961b9
132,17250,14673,14662,18786,23024,-0.051025445,1.745641916,-1.554055547,-10.865900000,-10.870400000,27.193800000,0.309570000,0.948242000,0.416504000,0.841309000,-0.344238000,0.908691000,-0.393066000,0.139160000,0.352295000,196728,513946396249f059,7fe85f246478510994b47108cb110d0b08030000ffffffff0741002ac909d8eb
133,17251,14456,14962,16549,23236,-0.061099412,1.763927715,-1.802708881,-10.808100000,-10.765600000,27.114900000,0.287354000,0.951660000,0.484863000,0.779297000,-0.397461000,0.833008000,-0.549316000,-0.063110400,0.143799000,196728,7838723aa540c45a,9f9cdc5583ac710982601208783e1812120c0000ffffffff2d0ec942733b5ebf
134,17252,10372,14549,20482,22569,-0.250694247,1.738754264,-1.365536971,-10.845700000,-10.762100000,27.140800000,0.295410000,0.956055000,-0.410400000,0.850098000,-0.330078000,0.901367000,0.328125000,-0.281982000,0.765137000,196728,8428d53802502958,c0d8f0ea0830700000000000ff00000000000000ffffffff0e469632440e3ac5
135,17253,14446,14843,17852,23169,-0.061563650,1.756674348,-1.657874149,-10.663300000,-10.766400000,26.942900000,0.242920000,0.939941000,0.566406000,0.755371000,-0.330322000,0.762695000,-0.631836000,-0.137817000,0.020889300,196728,6e38fb39bc45815a,edf0df606ab4c1096978e1095a392827100e0000ffffffff9b4651339c0fd8be
136,17254,14447,14816,17948,23151,-0.061517226,1.755028626,-1.647203287,-11.233500000,-9.931880000,26.846900000,0.589355000,0.647949000,-0.277832000,-0.366211000,-0.888184000,0.954102000,-0.194824000,-0.227173000,0.438721000,196728,6f38e0391c466f5a,7e31ca7d69b4e1056a70c206673a37180a050000ffffffffff0eca41f5396bc1
137,17255,10299,14571,20450,22589,-0.254083185,1.740095223,-1.369093925,-11.250700000,-9.806320000,26.840500000,0.574219000,0.642578000,-0.284912000,-0.370361000,-0.883789000,0.946777000,-0.251953000,-0.200317000,0.399414000,196728,3b28eb38e24f3d58,f62040e50830000000000000ff00000000000000ffffffffdb0e013a3c303da2
138,17256,12246,12637,20459,22724,-0.163696029,1.622212766,-1.368093532,-11.214500000,-9.899880000,26.813200000,0.589355000,0.637207000,-0.353027000,-0.357422000,-0.864746000,0.933594000,-0.158081000,-0.321289000,0.409912000,196728,d62f5d31eb4fc458,a59041dec1c4c20b08ec220c6858191807050000ffffffff241aae3807284198
139,17257,10677,14916,19970,22831,-0.236534986,1.761123893,-1.422448239,-10.335100000,-11.242100000,26.933900000,0.224854000,0.855957000,0.613770000,0.626953000,-0.479980000,0.637207000,-0.752441000,-0.166016000,-0.153076000,196728,b529443a024e2f59,6cdf61f4b0cc120bb2d0820b9d17141413110000ffffffffc0190f375e26519f
140,17258,11266,14918,19986,22855,-0.209191362,1.761245798,-1.420669762,-10.259900000,-11.328800000,26.835400000,0.205200000,0.844238000,0.600098000,0.643066000,-0.475098000,0.623535000,-0.748047000,-0.227905000,-0.174194000,196728,022c463a124e4759,455791e6b0dc220bb8d4920b6855210f0e050000ffffffff9c0cc3320631d9a0
141,17259,12649,14071,20516,22725,-0.144987234,1.709618890,-1.361757707,-10.668800000,-11.113000000,27.278800000,0.307861000,0.894531000,0.764160000,0.558105000,-0.322754000,0.619629000,-0.773438000,0.134766000,-0.107788000,196728,6931f7362450c558,8109a1ddbc048300b1ec6200594d231b1a010000ffffffffad51e935a41e90ea
142,17260,14690,14523,19143,22956,-0.050236240,1.737169495,-1.514373276,-10.684300000,-10.768800000,26.984600000,0.252441000,0.940430000,0.625977000,0.706055000,-0.332031000,0.732910000,-0.677734000,-0.064941400,-0.014732400,196728,6239bb38c74aac59,31a56d4c8d64b208632462064940311e1e090000ffffffffbd0d5433b2302995
143,17261,12610,14087,20493,22727,-0.146797763,1.710594132,-1.364314268,-10.618000000,-10.813500000,26.909000000,0.233032000,0.933105000,0.553711000,0.785156000,-0.277588000,0.752441000,-0.614746000,-0.235474000,0.003833770,196728,423107370d50c758,717d23edbc04130b08ec62005d4b281b13010000ffffffff4c3775319c0c7808
