submesh,gpu_id,vertex_id,error_exact,error_translation_only,error_affine,late_x,late_y,late_z,pix_x,pix_y,pix_z
Wing,GpuId7157,2332,0.349271455,0.484931784,0.461571948,-6.842762947,-2.711170912,2.767427206,-9.302650000,-17.193000000,34.723000000
Wing,GpuId7157,254,0.359315348,0.493722039,0.461552897,-8.956272125,-5.890189648,1.409235954,-11.592600000,-22.567600000,35.856800000
Wing,GpuId7157,3484,0.404705132,0.540378900,0.461074310,9.458885193,-6.929936409,0.270467758,-2.096450000,-26.216700000,20.087500000
Wing,GpuId7157,3747,0.404705132,0.540378900,0.461074310,9.458885193,-6.929936409,0.270467758,-2.096450000,-26.216700000,20.087500000
Wing,GpuId7157,825,0.364440662,0.493840903,0.459242181,-8.962099075,-5.623460293,2.085464001,-11.085200000,-22.068100000,36.260400000
Wing,GpuId7157,1150,0.347600523,0.482214059,0.458540567,-7.000591755,-2.940794230,2.566684961,-9.559700000,-17.592700000,34.750900000
Wing,GpuId7157,2206,0.347600523,0.482214059,0.458540567,-7.000591755,-2.940794230,2.566684961,-9.559700000,-17.592700000,34.750900000
Wing,GpuId7157,2292,0.354723932,0.490447080,0.458456626,-9.100490570,-6.134654999,1.186537266,-11.841000000,-22.992300000,35.854900000
Wing,GpuId7157,5122,0.340547214,0.477185591,0.454627472,-6.869529247,-2.646177530,2.744075537,-9.328970000,-17.085700000,34.718800000
Wing,GpuId7157,5111,0.343563090,0.477371635,0.453898367,-7.098368645,-3.055800915,2.387621164,-9.762040000,-17.800300000,34.735600000
Wing,GpuId7157,5752,0.378296847,0.513936971,0.453216638,7.769965172,-3.349836111,2.121147394,-1.528840000,-19.765700000,22.273400000
Wing,GpuId7157,4878,0.378890893,0.513803942,0.452802184,7.751866341,-3.389154673,2.157907248,-1.506700000,-19.832000000,22.305100000
Wing,GpuId7157,5130,0.378890893,0.513803942,0.452802184,7.751866341,-3.389154673,2.157907248,-1.506700000,-19.832000000,22.305100000
Wing,GpuId7157,375,0.351105988,0.485822062,0.452770437,-9.048326492,-6.206506252,1.228309631,-11.783500000,-23.124600000,35.849800000
Wing,GpuId7157,436,0.351105988,0.485822062,0.452770437,-9.048326492,-6.206506252,1.228309631,-11.783500000,-23.124600000,35.849800000
